Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Tm_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Rodney Stuckey,PG,29,IND,7,0,17.9,2.4,6.1,.395,0.7,1.4,.500,1.7,4.7,.364,.453,0.7,1.3,.556,0.1,2.0,2.1,2.0,0.6,0.1,0.9,1.3,6.3,IND,11.1,.468,.233,.209,1.0,12.0,6.9,20.3,1.7,0.7,11.3,20.4,0.0,0.1,0.1,.047,-1.4,0.6,-0.8,0.0
Jared Sullinger,PF,23,BOS,6,2,13.5,2.2,7.0,.310,0.3,0.7,.500,1.8,6.3,.289,.333,0.5,0.7,.750,1.7,2.8,4.5,1.2,0.2,0.0,1.0,2.7,5.2,BOS,5.6,.354,.095,.095,12.1,23.4,17.4,15.9,0.6,0.0,12.1,26.5,-0.3,0.1,-0.1,-0.077,-5.3,-2.0,-7.4,-0.1
Jeff Teague,PG,27,ATL,10,10,27.9,4.6,12.1,.380,0.9,3.6,.250,3.7,8.5,.435,.417,4.4,5.2,.846,0.3,1.6,1.9,6.2,0.6,0.2,2.5,3.0,14.5,ATL,14.9,.504,.298,.430,1.2,5.9,3.7,37.7,1.1,0.6,14.8,27.1,0.3,0.2,0.4,.071,0.0,-1.6,-1.5,0.0
Jason Terry,SG,38,HOU,5,0,24.8,2.6,7.6,.342,1.2,3.8,.316,1.4,3.8,.368,.421,0.6,0.6,1.000,0.2,2.0,2.2,1.2,0.4,0.2,0.6,2.6,7.0,HOU,5.5,.445,.500,.079,0.8,9.0,4.7,8.3,0.8,0.7,7.1,14.0,0.0,0.0,0.0,-0.011,-3.1,-1.3,-4.4,-0.1
Isaiah Thomas,PG,26,BOS,6,6,36.7,7.8,19.8,.395,2.2,7.7,.283,5.7,12.2,.466,.450,6.3,7.8,.809,0.3,2.7,3.0,5.0,0.7,0.8,2.3,3.0,24.2,BOS,17.4,.519,.387,.395,0.9,8.1,4.3,27.9,0.9,2.0,9.1,30.1,0.2,0.3,0.5,.118,3.9,-0.2,3.7,0.3
Jason Thompson,C,29,TOR,10,0,5.5,0.4,0.9,.444,0.0,0.1,.000,0.4,0.8,.500,.444,0.0,0.3,.000,0.6,0.5,1.1,0.1,0.0,0.1,0.1,0.6,0.8,TOR,6.2,.388,.111,.333,12.4,11.6,12.0,2.9,0.0,1.6,8.8,9.5,0.0,0.0,0.0,.014,-2.7,-3.3,-6.1,-0.1
Klay Thompson,SG,25,GSW,24,24,35.4,8.4,18.9,.444,4.1,9.6,.424,4.3,9.3,.464,.552,3.4,4.0,.854,0.6,3.0,3.7,2.3,1.1,0.4,2.0,2.2,24.3,GSW,19.5,.588,.510,.212,1.9,9.2,5.6,11.1,1.5,0.9,8.7,28.0,1.9,0.6,2.5,.143,4.6,-0.4,4.2,1.3
Tristan Thompson,PF,24,CLE,21,21,29.6,2.3,4.4,.527,0.0,0.0,,2.3,4.4,.527,.527,2.0,3.5,.575,4.1,4.9,9.0,0.7,0.4,0.9,0.8,2.6,6.7,CLE,14.2,.559,.000,.785,16.6,19.1,17.8,3.4,0.7,2.8,12.0,10.6,1.4,0.6,2.0,.155,0.0,-1.1,-1.1,0.1
Anthony Tolliver,PF,30,DET,3,0,8.7,0.7,1.3,.500,0.0,0.7,.000,0.7,0.7,1.000,.500,0.0,0.0,,0.3,1.0,1.3,0.3,0.0,0.3,0.0,0.0,1.3,DET,10.2,.500,.500,.000,4.9,13.6,9.4,5.7,0.0,3.8,0.0,7.7,0.0,0.0,0.0,.014,0.0,-0.5,-0.5,0.0
Evan Turner,SG,27,BOS,6,4,35.7,5.2,14.2,.365,0.5,2.3,.214,4.7,11.8,.394,.382,2.3,3.0,.778,1.3,4.3,5.7,4.5,1.3,1.0,2.8,3.2,13.2,BOS,9.8,.425,.165,.212,3.7,13.5,8.3,22.6,1.8,2.5,15.5,22.1,-0.4,0.4,0.0,.005,-2.4,0.8,-1.6,0.0
Myles Turner,C,19,IND,7,4,28.1,4.7,10.1,.465,0.0,0.3,.000,4.7,9.9,.478,.465,0.9,1.3,.667,2.3,4.1,6.4,0.4,0.3,3.3,1.7,3.4,10.3,IND,14.2,.480,.028,.127,10.0,15.8,13.1,2.9,0.5,9.8,13.8,21.2,-0.1,0.3,0.2,.050,-3.6,1.4,-2.2,0.0
Jonas Valančiūnas,C,23,TOR,12,10,26.8,5.7,10.0,.567,0.0,0.0,,5.7,10.0,.567,.567,2.4,3.3,.744,4.0,6.8,10.8,0.9,0.8,1.2,1.5,2.7,13.8,TOR,26.8,.601,.000,.325,16.9,32.2,24.1,7.0,1.7,3.9,11.6,22.4,1.0,0.5,1.5,.226,4.9,0.8,5.7,0.6
Anderson Varejão,C,33,GSW,17,0,5.5,0.3,0.8,.357,0.0,0.0,,0.3,0.8,.357,.357,0.6,1.1,.526,0.7,0.5,1.2,0.8,0.1,0.1,0.1,1.0,1.2,GSW,12.4,.447,.000,1.357,14.2,10.3,12.2,18.6,1.1,1.7,8.2,11.5,0.2,0.1,0.3,.149,-1.1,1.9,0.8,0.1
Charlie Villanueva,PF,31,DAL,4,0,5.0,0.8,3.0,.250,0.3,1.3,.200,0.5,1.8,.286,.292,0.5,0.5,1.000,0.0,0.5,0.5,0.3,0.0,0.0,0.3,0.5,2.3,DAL,0.5,.349,.417,.167,0.0,12.2,5.8,8.5,0.0,0.0,7.2,32.1,-0.1,0.0,-0.1,-0.287,-4.5,-3.5,-8.0,0.0
Noah Vonleh,PF,20,POR,6,0,2.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.2,0.5,0.7,0.3,0.3,0.0,0.0,0.2,0.0,POR,9.6,.000,.000,.000,8.3,26.3,17.1,21.8,8.3,0.0,0.0,10.7,0.0,0.0,0.0,-0.013,-2.0,5.8,3.8,0.0
Dwyane Wade,SG,34,MIA,14,14,33.8,8.5,18.1,.469,0.9,1.6,.522,7.6,16.5,.463,.492,3.6,4.6,.781,0.9,4.8,5.6,4.3,0.8,0.9,2.7,1.6,21.4,MIA,22.3,.532,.091,.252,3.2,15.9,9.9,25.4,1.2,2.1,11.9,32.2,0.7,0.8,1.5,.148,4.2,0.7,4.9,0.8
Dion Waiters,SG,24,OKC,18,0,27.3,3.1,7.3,.417,1.2,3.1,.375,1.9,4.2,.447,.496,1.1,1.7,.667,0.3,2.3,2.6,2.3,0.6,0.2,1.1,2.3,8.4,OKC,9.3,.520,.424,.227,1.4,9.2,5.3,12.5,1.0,0.5,12.1,14.6,0.4,0.3,0.7,.065,-1.7,0.6,-1.1,0.1
Kemba Walker,PG,25,CHO,7,7,37.1,8.0,21.9,.366,2.0,6.1,.326,6.0,15.7,.382,.412,4.7,5.0,.943,0.4,2.6,3.0,4.0,1.3,0.6,1.7,1.4,22.7,CHO,18.2,.472,.281,.229,1.2,8.5,4.6,24.0,1.8,1.2,6.7,33.0,-0.1,0.2,0.1,.016,3.8,-0.4,3.4,0.4
Briante Weber,PG,23,MIA,2,0,3.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,MIA,5.4,.000,.000,.000,0.0,0.0,0.0,22.2,8.9,0.0,0.0,7.9,0.0,0.0,0.0,.024,-6.2,9.6,3.4,0.0
David West,PF,35,SAS,10,0,17.6,2.5,5.5,.455,0.3,0.6,.500,2.2,4.9,.449,.482,0.5,0.9,.556,1.3,2.4,3.7,1.3,0.6,0.7,0.7,1.9,5.8,SAS,14.4,.492,.109,.164,9.1,14.8,12.1,11.1,1.8,3.1,10.6,17.4,0.1,0.3,0.4,.116,-0.4,1.4,0.9,0.1
Russell Westbrook,PG,27,OKC,18,18,37.4,8.8,21.8,.405,1.9,5.8,.324,6.9,16.0,.434,.448,6.4,7.8,.829,2.3,4.6,6.9,11.0,2.6,0.1,4.3,2.4,26.0,OKC,26.9,.515,.267,.356,6.9,13.5,10.3,52.4,3.4,0.2,14.6,34.3,2.0,0.9,2.9,.208,7.4,1.7,9.1,1.9
Hassan Whiteside,C,26,MIA,10,10,29.1,4.7,6.9,.681,0.0,0.0,,4.7,6.9,.681,.681,2.6,4.4,.591,2.6,8.3,10.9,0.3,0.8,2.8,1.3,3.4,12.0,MIA,24.3,.679,.000,.638,11.1,32.1,22.1,1.7,1.5,7.5,12.8,16.6,0.8,0.8,1.7,.275,2.1,3.7,5.8,0.6
C.J. Wilcox,SG,25,LAC,2,0,3.5,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,LAC,-1.4,.000,.000,.000,0.0,14.0,7.1,18.4,0.0,0.0,0.0,6.4,0.0,0.0,0.0,-0.066,-8.2,-0.9,-9.1,0.0
Deron Williams,PG,31,DAL,3,3,16.3,2.0,6.0,.333,1.0,2.3,.429,1.0,3.7,.273,.417,0.0,0.0,,0.0,0.7,0.7,2.7,0.3,0.0,2.3,2.0,5.0,DAL,1.2,.417,.389,.000,0.0,5.0,2.4,26.5,1.1,0.0,28.0,23.6,-0.2,-0.1,-0.3,-0.254,-4.3,-1.4,-5.8,0.0
Marvin Williams,PF,29,CHO,7,7,32.6,2.0,7.3,.275,0.9,2.4,.353,1.1,4.9,.235,.333,0.3,0.6,.500,1.0,5.9,6.9,0.9,0.9,0.4,0.3,1.6,5.1,CHO,6.0,.341,.333,.078,3.3,22.1,12.0,4.4,1.4,1.0,3.7,11.4,-0.3,0.2,-0.1,-0.021,-3.3,-0.9,-4.2,-0.1
Mo Williams,PG,33,CLE,13,0,5.2,0.6,2.2,.286,0.2,1.0,.231,0.4,1.2,.333,.339,0.1,0.2,.500,0.0,0.5,0.5,0.2,0.3,0.0,0.8,0.6,1.5,CLE,-3.3,.346,.464,.071,0.0,10.3,5.2,6.5,3.1,0.0,25.7,26.4,-0.4,0.1,-0.3,-0.245,-10.7,-2.8,-13.5,-0.2
Justise Winslow,SF,19,MIA,13,2,25.4,2.5,5.7,.432,0.4,1.4,.278,2.1,4.3,.482,.466,1.6,2.3,.700,1.3,3.5,4.8,0.6,0.6,0.3,0.9,2.7,6.9,MIA,10.1,.516,.243,.405,6.4,15.7,11.3,3.7,1.3,0.9,12.1,14.3,0.2,0.5,0.7,.101,-2.2,0.8,-1.4,0.1
Delon Wright,PG,23,TOR,9,0,4.6,0.3,1.1,.300,0.0,0.1,.000,0.3,1.0,.333,.300,0.9,1.4,.615,0.1,0.3,0.4,0.3,0.3,0.0,0.2,0.2,1.6,TOR,12.0,.445,.100,1.300,2.8,9.3,5.9,11.6,3.9,0.0,11.3,20.0,0.0,0.0,0.0,.035,-1.0,0.3,-0.7,0.0
Dorell Wright,SF,30,MIA,5,0,3.8,1.0,2.0,.500,0.4,1.0,.400,0.6,1.0,.600,.600,0.8,0.8,1.000,0.0,1.2,1.2,0.4,0.0,0.0,0.0,0.4,3.2,MIA,36.1,.680,.500,.400,0.0,35.5,18.7,21.6,0.0,0.0,0.0,29.5,0.2,0.0,0.2,.479,9.1,4.6,13.6,0.1
James Young,SG,20,BOS,3,0,3.3,0.3,1.0,.333,0.0,0.3,.000,0.3,0.7,.500,.333,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.7,BOS,-6.5,.333,.333,.000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,17.2,0.0,0.0,0.0,-0.201,-11.1,-4.0,-15.1,0.0
Joe Young,PG,23,IND,4,0,2.5,0.8,2.0,.375,0.3,1.0,.250,0.5,1.0,.500,.438,0.5,0.5,1.000,0.0,0.3,0.3,0.3,0.0,0.0,0.5,0.8,2.3,IND,9.7,.507,.500,.250,0.0,10.7,5.7,25.8,0.0,0.0,18.4,52.3,0.0,0.0,0.0,-0.126,-6.1,-4.3,-10.4,0.0
Cody Zeller,C,23,CHO,7,2,19.6,3.0,5.4,.553,0.0,0.0,,3.0,5.4,.553,.553,2.4,3.0,.810,1.3,4.0,5.3,0.3,0.1,0.4,1.0,2.9,8.4,CHO,16.8,.624,.000,.553,7.0,25.1,15.4,2.9,0.4,1.7,12.9,18.9,0.3,0.1,0.4,.141,-0.9,0.5,-0.4,0.1
Tyler Zeller,C,26,BOS,3,0,12.7,2.3,5.0,.467,0.0,0.0,,2.3,5.0,.467,.467,1.3,2.0,.667,1.3,3.7,5.0,0.7,0.0,0.7,0.7,0.3,6.0,BOS,18.8,.510,.000,.400,10.3,32.2,20.6,10.1,0.0,4.7,10.2,22.3,0.0,0.1,0.1,.130,2.9,1.1,4.0,0.1
