Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Made_Playoffs
POR,30.0,10.0,6.0,0.625,11,5,107.7,102.2,5.5,85.9,0.386,0.2,0.541,0.48100000000000004,12.9,25.9,0.303,0.478,13.4,75.0,0.248,False
MIA,29.6,6.0,4.0,0.6,6,4,97.4,94.4,3.0,84.6,0.32799999999999996,0.20199999999999999,0.493,0.451,14.1,25.7,0.22699999999999998,0.431,13.5,80.8,0.26899999999999996,False
IND,30.9,13.0,10.0,0.565,14,9,109.7,106.8,2.9,89.0,0.322,0.239,0.545,0.488,11.4,25.1,0.267,0.48100000000000004,11.2,73.0,0.22,False
LAL,29.3,15.0,8.0,0.652,13,10,110.1,107.5,2.6,90.3,0.39299999999999996,0.192,0.529,0.498,11.4,30.6,0.245,0.47600000000000003,12.1,73.7,0.289,False
MIL,27.6,2.0,3.0,0.4,3,2,107.5,105.5,2.0,89.3,0.266,0.14,0.52,0.479,11.3,28.5,0.203,0.446,11.0,70.4,0.262,False
NYK,29.7,9.0,7.0,0.563,7,9,99.8,101.1,-1.3,84.0,0.318,0.158,0.512,0.462,12.5,20.3,0.243,0.442,12.5,73.3,0.25,False
OKC,27.9,2.0,3.0,0.4,2,3,104.5,105.8,-1.3,89.2,0.29100000000000004,0.20600000000000002,0.519,0.48100000000000004,14.0,28.7,0.209,0.508,15.5,71.9,0.214,False
SAS,31.0,1.0,3.0,0.25,2,2,90.0,91.4,-1.4,90.8,0.401,0.145,0.457,0.391,15.4,26.5,0.293,0.42100000000000004,14.5,70.8,0.149,False
PHI,27.6,5.0,5.0,0.5,5,5,106.5,108.0,-1.5,87.5,0.369,0.154,0.507,0.452,12.0,31.2,0.27399999999999997,0.49,13.1,72.4,0.256,False
MIN,26.6,1.0,3.0,0.25,2,2,103.4,105.8,-2.4,82.5,0.22899999999999998,0.127,0.506,0.467,12.2,27.9,0.18,0.47600000000000003,13.5,73.9,0.265,False
CHO,29.2,1.0,3.0,0.25,2,2,104.6,107.8,-3.2,85.0,0.36,0.2,0.525,0.46,15.1,32.9,0.297,0.466,12.3,70.1,0.244,False
PHO,28.4,4.0,5.0,0.444,3,6,96.6,100.6,-4.0,90.5,0.27399999999999997,0.204,0.474,0.435,14.3,30.3,0.192,0.436,13.3,68.9,0.305,False
TOR,29.8,0.0,3.0,0.0,1,2,97.3,101.9,-4.6,86.0,0.419,0.212,0.47700000000000004,0.40299999999999997,14.1,30.7,0.324,0.493,16.7,79.5,0.32299999999999995,False
UTA,32.2,4.0,6.0,0.4,3,7,100.6,106.2,-5.6,87.8,0.318,0.165,0.519,0.475,14.9,26.4,0.235,0.483,13.9,72.1,0.264,False
SAC,27.2,2.0,3.0,0.4,1,4,105.0,113.7,-8.7,91.8,0.37,0.215,0.512,0.456,11.3,26.3,0.27899999999999997,0.488,10.0,62.0,0.195,False
DET,28.4,0.0,3.0,0.0,0,3,88.7,100.2,-11.5,89.8,0.389,0.168,0.49,0.435,17.3,15.4,0.27899999999999997,0.512,17.1,77.3,0.233,False
