Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Made_Playoffs
DAL,31.6,16.0,5.0,0.762,15,6,112.9,106.3,6.6,86.6,0.339,0.297,0.571,0.519,13.0,25.1,0.274,0.482,13.5,71.7,0.245,False
CHI,26.0,9.0,7.0,0.563,11,5,105.8,100.9,4.9,86.9,0.288,0.238,0.51,0.461,13.1,32.3,0.226,0.462,13.9,76.1,0.256,False
MIA,28.0,14.0,7.0,0.667,13,8,106.4,103.4,3.0,86.3,0.379,0.244,0.542,0.485,13.9,26.0,0.295,0.475,13.0,75.4,0.215,False
ORL,27.2,2.0,4.0,0.333,3,3,102.4,100.3,2.1,86.6,0.367,0.31,0.503,0.449,12.7,28.9,0.27,0.465,13.1,76.6,0.205,False
OKC,23.8,9.0,8.0,0.529,10,7,109.5,107.5,2.0,90.8,0.393,0.25,0.548,0.482,14.2,31.3,0.321,0.46,11.4,74.4,0.305,False
BOS,29.9,5.0,4.0,0.556,5,4,105.1,103.6,1.5,89.1,0.262,0.208,0.552,0.514,15.4,23.6,0.204,0.466,14.2,72.1,0.276,False
MEM,26.2,7.0,6.0,0.538,6,7,105.4,106.1,-0.7,90.0,0.335,0.144,0.512,0.46,11.9,28.1,0.255,0.482,14.3,72.2,0.289,False
LAL,30.1,4.0,6.0,0.4,5,5,107.8,109.3,-1.5,86.5,0.315,0.213,0.526,0.477,12.4,30.8,0.244,0.524,13.7,78.8,0.245,False
SAS,29.7,2.0,4.0,0.333,2,4,102.2,105.6,-3.4,90.8,0.369,0.235,0.526,0.471,13.8,23.6,0.281,0.498,13.1,76.8,0.238,False
ATL,26.7,6.0,6.0,0.5,4,8,100.4,105.5,-5.1,85.9,0.289,0.184,0.505,0.464,12.7,22.9,0.21,0.47,12.4,70.6,0.233,False
DEN,26.4,1.0,4.0,0.2,2,3,103.4,108.5,-5.1,94.2,0.468,0.239,0.525,0.468,11.6,17.2,0.33,0.468,12.5,70.8,0.343,False
POR,27.6,2.0,4.0,0.333,2,4,106.3,112.5,-6.2,83.0,0.294,0.228,0.534,0.487,12.2,24.4,0.23,0.507,12.5,71.5,0.253,False
IND,25.4,1.0,4.0,0.2,1,4,100.2,108.5,-8.3,90.0,0.304,0.192,0.496,0.445,14.3,29.1,0.234,0.461,14.8,63.2,0.291,False
NOP,26.0,2.0,4.0,0.333,2,4,104.7,113.1,-8.4,85.3,0.36,0.195,0.537,0.488,13.4,21.2,0.267,0.5,12.9,67.7,0.295,False
PHI,24.6,1.0,4.0,0.2,1,4,100.7,109.3,-8.6,86.0,0.213,0.201,0.485,0.453,10.6,23.9,0.154,0.462,11.3,69.1,0.303,False
NYK,26.7,0.0,4.0,0.0,1,3,99.0,108.2,-9.2,91.7,0.298,0.286,0.483,0.435,14.0,30.7,0.223,0.52,15.7,69.3,0.174,False
