Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Made_Playoffs
GSW,26.4,16.0,5.0,0.762,16,5,108.7,100.5,8.2,93.7,0.263,0.36200000000000004,0.55,0.521,13.5,26.2,0.184,0.45799999999999996,13.1,75.3,0.228,False
CLE,26.6,14.0,6.0,0.7,13,7,107.4,103.1,4.3,90.7,0.325,0.34700000000000003,0.524,0.479,12.0,28.1,0.24,0.467,11.1,77.5,0.209,False
WAS,27.5,6.0,4.0,0.6,6,4,105.8,101.7,4.1,94.6,0.28,0.276,0.5329999999999999,0.49700000000000005,13.3,26.8,0.20199999999999999,0.47,12.2,77.2,0.177,False
CHI,28.7,6.0,6.0,0.5,7,5,104.4,100.7,3.7,90.4,0.257,0.294,0.515,0.474,13.1,26.8,0.19899999999999998,0.452,11.8,74.3,0.198,False
LAC,28.8,7.0,7.0,0.5,8,6,108.4,107.1,1.3,98.7,0.361,0.3,0.5479999999999999,0.515,11.8,21.3,0.24100000000000002,0.505,12.5,75.0,0.25,False
SAS,30.3,3.0,4.0,0.429,4,3,107.8,107.3,0.5,94.5,0.298,0.307,0.536,0.505,11.2,24.8,0.203,0.509,11.5,78.6,0.22399999999999998,False
ATL,27.7,8.0,8.0,0.5,8,8,103.4,103.6,-0.2,93.5,0.22699999999999998,0.335,0.521,0.484,11.9,21.6,0.17800000000000002,0.486,12.9,74.7,0.184,False
MEM,30.3,6.0,5.0,0.545,5,6,103.0,104.4,-1.4,91.9,0.27,0.166,0.503,0.451,10.5,23.7,0.225,0.501,14.1,77.2,0.192,False
HOU,28.8,9.0,8.0,0.529,7,10,106.6,109.0,-2.4,101.5,0.44,0.33,0.544,0.505,13.5,23.8,0.28800000000000003,0.514,12.5,74.4,0.21,False
DAL,30.4,1.0,4.0,0.2,2,3,107.9,112.0,-4.1,101.9,0.27399999999999997,0.265,0.534,0.493,12.1,28.1,0.209,0.52,12.4,75.1,0.29100000000000004,False
BRK,28.6,2.0,4.0,0.33299999999999996,2,4,100.8,106.5,-5.7,94.0,0.251,0.289,0.522,0.486,13.4,21.0,0.18600000000000003,0.505,12.3,77.8,0.161,False
POR,25.9,1.0,4.0,0.2,1,4,101.9,109.3,-7.4,92.0,0.258,0.313,0.504,0.455,11.1,22.2,0.213,0.465,7.9,78.1,0.254,False
NOP,25.1,0.0,4.0,0.0,1,3,106.8,115.2,-8.4,92.0,0.264,0.252,0.536,0.491,12.6,24.9,0.214,0.516,11.0,69.1,0.21100000000000002,False
BOS,24.6,0.0,4.0,0.0,1,3,101.5,111.5,-10.0,93.3,0.308,0.26,0.504,0.45299999999999996,12.6,22.2,0.239,0.498,11.8,71.9,0.303,False
MIL,24.8,2.0,4.0,0.33299999999999996,1,5,91.8,104.6,-12.8,93.1,0.23600000000000002,0.20600000000000002,0.455,0.419,11.9,23.9,0.166,0.504,15.7,73.5,0.2,False
TOR,25.9,0.0,4.0,0.0,1,3,99.3,113.7,-14.4,94.5,0.24100000000000002,0.28300000000000003,0.493,0.45899999999999996,10.9,19.0,0.17300000000000001,0.547,13.3,73.0,0.25,False
