Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Made_Playoffs
MIA,28.8,16.0,7.0,0.696,17,6,109.6,101.6,8.0,88.0,0.364,0.258,0.552,0.505,12.8,26.1,0.271,0.466,14.0,74.0,0.22899999999999998,False
SAS,28.9,10.0,4.0,0.7140000000000001,10,4,110.3,103.9,6.4,92.4,0.29,0.287,0.574,0.541,13.8,21.8,0.212,0.48,12.6,74.8,0.21600000000000003,False
OKC,25.7,13.0,7.0,0.65,13,7,111.8,107.4,4.4,90.6,0.306,0.24,0.5579999999999999,0.508,11.3,23.6,0.251,0.491,13.7,74.7,0.262,False
IND,26.4,6.0,5.0,0.545,6,5,102.4,100.9,1.5,88.0,0.289,0.225,0.507,0.461,14.4,29.8,0.223,0.469,13.2,75.2,0.217,False
BOS,30.1,11.0,9.0,0.55,11,9,100.4,99.2,1.2,87.8,0.28,0.21100000000000002,0.516,0.46799999999999997,13.0,20.1,0.22399999999999998,0.46399999999999997,13.4,75.1,0.203,False
MEM,26.1,3.0,4.0,0.429,4,3,102.8,102.0,0.8,87.7,0.40299999999999997,0.155,0.509,0.449,14.7,32.6,0.3,0.493,15.0,75.9,0.244,False
DEN,26.0,3.0,4.0,0.429,4,3,107.1,106.6,0.5,90.3,0.22699999999999998,0.213,0.49200000000000005,0.46,10.2,33.0,0.163,0.461,11.0,66.7,0.18600000000000003,False
PHI,24.7,7.0,6.0,0.5379999999999999,6,7,96.9,98.3,-1.4,88.5,0.312,0.168,0.48200000000000004,0.436,11.5,23.9,0.225,0.45899999999999996,14.1,76.8,0.198,False
CHI,27.8,2.0,4.0,0.33299999999999996,3,3,95.7,97.6,-1.9,88.1,0.22899999999999998,0.157,0.475,0.44799999999999995,13.9,26.8,0.149,0.428,9.9,78.2,0.248,False
LAL,28.5,5.0,7.0,0.41700000000000004,4,8,105.4,110.0,-4.6,89.2,0.285,0.207,0.502,0.45399999999999996,11.8,31.0,0.221,0.474,9.7,69.7,0.2,False
LAC,26.8,4.0,7.0,0.364,4,7,101.3,106.5,-5.2,88.9,0.315,0.217,0.53,0.499,14.7,22.2,0.21,0.491,14.5,71.0,0.268,False
ATL,28.1,2.0,4.0,0.33299999999999996,2,4,91.8,97.1,-5.3,87.9,0.204,0.237,0.475,0.43799999999999994,15.1,22.6,0.16,0.461,13.0,82.3,0.21100000000000002,False
DAL,32.6,0.0,4.0,0.0,1,3,102.9,110.1,-7.2,90.6,0.34299999999999997,0.276,0.519,0.455,13.9,24.7,0.285,0.52,12.8,80.5,0.265,False
ORL,27.8,1.0,4.0,0.2,1,4,94.8,107.0,-12.2,86.6,0.244,0.316,0.486,0.452,14.0,22.6,0.172,0.48,13.3,68.4,0.196,False
NYK,27.9,1.0,4.0,0.2,1,4,95.2,111.3,-16.1,86.9,0.297,0.248,0.499,0.451,18.1,30.1,0.226,0.511,13.7,74.1,0.315,False
UTA,25.0,0.0,4.0,0.0,0,4,93.9,111.3,-17.4,91.9,0.306,0.131,0.44299999999999995,0.395,12.2,32.0,0.21600000000000003,0.5329999999999999,11.6,80.7,0.213,False
