Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Made_Playoffs
SAS,28.7,15.0,6.0,0.7140000000000001,15,6,108.7,101.1,7.6,89.6,0.261,0.253,0.547,0.511,12.3,23.3,0.19899999999999998,0.475,12.8,73.8,0.162,False
MIA,30.1,16.0,7.0,0.696,17,6,110.2,102.9,7.3,87.3,0.303,0.264,0.5589999999999999,0.518,13.1,25.2,0.23199999999999998,0.48,15.6,71.1,0.237,False
NYK,29.6,6.0,6.0,0.5,7,5,101.4,98.3,3.1,86.6,0.222,0.28800000000000003,0.498,0.46,11.5,24.2,0.174,0.47,17.1,76.5,0.276,False
BRK,28.5,3.0,4.0,0.429,4,3,107.8,105.6,2.2,88.3,0.304,0.23199999999999998,0.524,0.479,10.9,27.4,0.23,0.49700000000000005,12.4,74.0,0.171,False
OKC,26.9,5.0,6.0,0.455,6,5,105.1,103.7,1.4,92.8,0.295,0.303,0.534,0.479,12.9,23.0,0.247,0.46799999999999997,12.5,76.0,0.254,False
MEM,27.9,8.0,7.0,0.5329999999999999,8,7,105.0,104.3,0.7,88.4,0.35700000000000004,0.182,0.502,0.447,10.2,27.2,0.267,0.493,13.8,77.5,0.21899999999999997,False
GSW,24.6,6.0,6.0,0.5,6,6,106.4,106.2,0.2,94.0,0.258,0.265,0.546,0.513,14.9,27.5,0.19,0.483,11.9,75.0,0.23399999999999999,False
IND,25.6,11.0,8.0,0.579,10,9,104.5,104.4,0.1,87.3,0.384,0.258,0.528,0.475,15.9,32.4,0.284,0.473,11.4,76.8,0.222,False
DEN,26.4,2.0,4.0,0.33299999999999996,2,4,105.9,110.2,-4.3,97.2,0.35,0.265,0.526,0.479,12.9,26.3,0.255,0.5539999999999999,17.0,72.9,0.209,False
ATL,27.3,2.0,4.0,0.33299999999999996,2,4,98.0,103.6,-5.6,91.2,0.33799999999999997,0.24100000000000002,0.503,0.462,12.0,18.6,0.231,0.455,14.4,70.0,0.284,False
BOS,29.7,2.0,4.0,0.33299999999999996,2,4,92.9,98.9,-6.0,87.1,0.312,0.3,0.525,0.46299999999999997,18.1,14.0,0.268,0.462,12.7,76.3,0.17,False
HOU,25.4,2.0,4.0,0.33299999999999996,2,4,105.3,111.4,-6.1,95.0,0.342,0.41600000000000004,0.537,0.496,14.5,24.8,0.243,0.511,12.0,77.2,0.258,False
LAC,29.1,2.0,4.0,0.33299999999999996,2,4,107.5,113.8,-6.3,88.0,0.314,0.254,0.552,0.506,13.5,24.3,0.24600000000000002,0.486,10.2,73.3,0.344,False
CHI,27.5,5.0,7.0,0.41700000000000004,3,9,102.5,110.0,-7.5,87.4,0.287,0.213,0.511,0.47200000000000003,13.7,28.4,0.20600000000000002,0.501,11.9,74.5,0.255,False
MIL,26.1,0.0,4.0,0.0,0,4,94.0,110.3,-16.3,90.7,0.264,0.3,0.498,0.47200000000000003,15.9,21.1,0.166,0.544,16.5,70.7,0.255,False
LAL,29.2,0.0,4.0,0.0,0,4,92.5,112.9,-20.4,92.1,0.237,0.237,0.495,0.474,16.1,20.2,0.14400000000000002,0.527,9.8,78.3,0.185,False
