Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Made_Playoffs
LAL,29.3,16.0,5.0,0.762,15,6,115.9,108.9,7.0,97.3,0.293,0.407,0.595,0.561,14.0,26.1,0.222,0.525,13.6,81.9,0.251,False
BOS,25.0,10.0,7.0,0.588,11,6,111.3,106.3,5.0,96.4,0.285,0.429,0.572,0.527,12.7,21.0,0.233,0.49,11.5,80.5,0.234,False
LAC,27.9,7.0,6.0,0.538,8,5,115.4,111.1,4.3,98.0,0.291,0.38,0.585,0.544,11.8,21.5,0.232,0.542,12.6,80.6,0.209,False
TOR,27.1,7.0,4.0,0.636,7,4,108.3,104.2,4.1,99.1,0.24,0.455,0.559,0.525,11.8,17.6,0.187,0.507,13.7,82.2,0.211,False
UTA,26.8,3.0,4.0,0.429,4,3,122.2,118.5,3.7,91.5,0.284,0.455,0.616,0.583,11.5,22.8,0.22,0.554,11.4,75.1,0.169,False
MIA,27.1,14.0,7.0,0.667,12,9,113.5,111.5,2.0,95.9,0.322,0.433,0.587,0.537,12.3,19.1,0.266,0.529,13.0,77.3,0.215,False
MIL,29.8,5.0,5.0,0.5,5,5,109.7,108.5,1.2,100.3,0.279,0.426,0.568,0.537,13.2,20.5,0.202,0.527,13.5,83.8,0.241,False
HOU,30.2,5.0,7.0,0.417,6,6,108.3,107.5,0.8,98.6,0.235,0.545,0.569,0.535,12.4,14.6,0.186,0.534,15.4,78.0,0.209,False
DEN,25.2,9.0,10.0,0.474,8,11,113.6,116.0,-2.4,94.1,0.26,0.392,0.584,0.545,13.2,23.0,0.212,0.551,12.7,76.8,0.233,False
OKC,25.7,3.0,4.0,0.429,2,5,102.4,108.7,-6.3,100.1,0.281,0.428,0.542,0.5,15.0,20.1,0.217,0.535,11.5,84.6,0.146,False
ORL,27.0,1.0,4.0,0.2,1,4,102.5,111.3,-8.8,104.4,0.237,0.449,0.547,0.505,13.0,13.5,0.199,0.572,14.5,82.0,0.177,False
DAL,26.2,2.0,4.0,0.333,1,5,112.7,122.0,-9.3,102.1,0.297,0.421,0.58,0.549,11.2,16.9,0.215,0.579,10.5,80.4,0.248,False
POR,26.6,1.0,4.0,0.2,1,4,104.6,115.0,-10.4,101.9,0.283,0.347,0.537,0.492,13.9,21.4,0.224,0.552,13.0,72.7,0.222,False
IND,26.2,0.0,4.0,0.0,1,3,104.2,115.1,-10.9,96.7,0.252,0.399,0.565,0.53,14.6,13.7,0.196,0.545,13.2,76.9,0.288,False
PHI,26.4,0.0,4.0,0.0,1,3,105.5,117.9,-12.4,95.2,0.381,0.36,0.512,0.443,10.9,26.8,0.31,0.523,9.7,77.6,0.255,False
BRK,25.4,0.0,4.0,0.0,0,4,102.2,122.0,-19.8,103.5,0.268,0.504,0.518,0.482,12.4,18.1,0.195,0.592,10.6,79.1,0.203,False
