Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Made_Playoffs
ORL,28.0,10.0,4.0,0.7140000000000001,11,3,110.8,100.9,9.9,86.5,0.426,0.38,0.574,0.5329999999999999,14.0,24.8,0.299,0.45799999999999996,13.6,77.3,0.26899999999999996,False
PHO,28.9,10.0,6.0,0.625,10,6,117.8,112.7,5.1,90.9,0.353,0.307,0.5820000000000001,0.536,12.0,27.4,0.273,0.512,11.1,72.6,0.242,False
LAL,29.0,16.0,7.0,0.696,15,8,112.8,108.6,4.2,89.6,0.32,0.255,0.546,0.502,11.9,30.9,0.24100000000000002,0.475,12.0,72.4,0.27699999999999997,False
BOS,29.4,15.0,9.0,0.625,14,10,104.8,101.7,3.1,89.2,0.341,0.21100000000000002,0.539,0.491,13.8,23.1,0.258,0.473,15.2,74.6,0.285,False
CLE,29.2,6.0,5.0,0.545,6,5,108.2,106.8,1.4,92.6,0.42,0.27699999999999997,0.568,0.517,14.5,22.1,0.311,0.48100000000000004,11.0,75.7,0.24,False
DAL,31.2,2.0,4.0,0.33299999999999996,3,3,105.1,105.6,-0.5,88.4,0.294,0.244,0.518,0.46799999999999997,12.7,28.1,0.233,0.486,12.3,74.0,0.22399999999999998,False
DEN,27.5,2.0,4.0,0.33299999999999996,3,3,113.9,115.1,-1.2,96.0,0.469,0.231,0.5770000000000001,0.517,12.6,25.8,0.359,0.5479999999999999,13.5,76.9,0.35700000000000004,False
OKC,22.9,2.0,4.0,0.33299999999999996,3,3,103.6,105.4,-1.8,90.6,0.41200000000000003,0.23600000000000002,0.506,0.426,11.9,26.7,0.344,0.488,12.4,73.6,0.196,False
UTA,24.8,4.0,6.0,0.4,4,6,114.0,116.4,-2.4,93.9,0.42100000000000004,0.21899999999999997,0.568,0.52,12.3,26.5,0.307,0.522,12.1,71.0,0.327,False
SAS,29.1,4.0,6.0,0.4,4,6,105.7,109.4,-3.7,90.9,0.33899999999999997,0.18100000000000002,0.5329999999999999,0.494,12.3,24.0,0.23600000000000002,0.499,12.7,73.6,0.245,False
MIL,27.8,3.0,4.0,0.429,3,4,105.0,109.3,-4.3,85.7,0.25,0.268,0.51,0.465,12.3,27.9,0.201,0.48200000000000004,11.9,66.9,0.201,False
ATL,26.3,4.0,7.0,0.364,3,8,104.3,112.2,-7.9,85.8,0.276,0.171,0.501,0.45299999999999996,11.6,29.8,0.217,0.515,12.3,72.4,0.22399999999999998,False
MIA,27.0,1.0,4.0,0.2,1,4,96.2,105.2,-9.0,91.1,0.24100000000000002,0.23600000000000002,0.513,0.479,17.3,22.6,0.17600000000000002,0.523,15.6,79.2,0.266,False
CHI,25.6,1.0,4.0,0.2,1,4,105.0,115.0,-10.0,92.4,0.265,0.125,0.504,0.457,9.4,25.0,0.21100000000000002,0.5579999999999999,13.2,77.0,0.249,False
CHO,27.6,0.0,4.0,0.0,1,3,100.2,111.0,-10.8,85.4,0.36200000000000004,0.24100000000000002,0.523,0.47700000000000004,15.9,23.0,0.259,0.522,13.3,75.2,0.335,False
POR,26.6,2.0,4.0,0.33299999999999996,1,5,106.5,118.3,-11.8,87.3,0.364,0.217,0.522,0.47100000000000003,11.0,26.5,0.26899999999999996,0.536,12.4,71.0,0.247,False
