Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Made_Playoffs
LAL,28.3,15.0,1.0,0.938,14,2,111.6,97.9,13.7,92.0,0.375,0.19399999999999998,0.542,0.505,12.8,33.0,0.254,0.433,13.1,74.1,0.249,False
CHO,28.1,6.0,4.0,0.6,7,3,108.0,100.9,7.1,88.6,0.402,0.154,0.521,0.462,11.6,30.3,0.301,0.47,14.7,73.8,0.21100000000000002,False
MIL,28.4,10.0,8.0,0.556,10,8,107.8,106.2,1.6,88.3,0.294,0.218,0.526,0.47600000000000003,12.5,30.4,0.235,0.447,10.8,68.8,0.242,False
TOR,29.6,6.0,6.0,0.5,6,6,106.0,105.0,1.0,86.9,0.262,0.19,0.52,0.48100000000000004,13.3,29.4,0.198,0.47700000000000004,13.8,71.4,0.259,False
SAC,26.8,3.0,5.0,0.375,4,4,101.5,101.3,0.2,96.2,0.33299999999999996,0.166,0.495,0.43200000000000005,14.4,32.0,0.272,0.44799999999999995,13.0,69.9,0.256,False
PHI,28.3,12.0,11.0,0.522,11,12,105.7,105.8,-0.1,87.0,0.332,0.141,0.498,0.445,11.8,32.7,0.253,0.486,13.3,71.5,0.201,False
SAS,30.2,7.0,6.0,0.5379999999999999,6,7,102.2,102.6,-0.4,89.6,0.353,0.2,0.521,0.475,13.7,25.0,0.253,0.442,11.1,70.7,0.20199999999999999,False
NYK,29.9,2.0,3.0,0.4,2,3,101.3,105.0,-3.7,87.8,0.32799999999999996,0.165,0.545,0.496,15.2,22.4,0.255,0.462,13.3,70.1,0.231,False
DAL,26.1,4.0,6.0,0.4,4,6,104.2,108.4,-4.2,88.5,0.317,0.213,0.501,0.436,11.2,27.0,0.26899999999999996,0.491,13.1,69.7,0.255,False
UTA,32.6,2.0,3.0,0.4,2,3,103.8,108.6,-4.8,86.3,0.332,0.141,0.503,0.447,12.0,30.3,0.257,0.46799999999999997,13.1,75.0,0.332,False
ORL,25.9,1.0,3.0,0.25,1,3,107.9,113.9,-6.0,92.8,0.273,0.228,0.511,0.479,10.1,27.4,0.187,0.45299999999999996,10.3,63.4,0.33399999999999996,False
IND,27.8,1.0,3.0,0.25,1,3,100.3,107.5,-7.2,87.0,0.228,0.222,0.48200000000000004,0.436,12.1,26.4,0.188,0.444,10.6,65.9,0.27699999999999997,False
MIN,27.8,1.0,3.0,0.25,1,3,93.5,100.9,-7.4,87.7,0.27,0.126,0.461,0.406,12.5,25.0,0.22,0.47,14.1,75.9,0.257,False
PHO,28.7,1.0,3.0,0.25,1,3,92.2,102.1,-9.9,96.0,0.254,0.19,0.445,0.40399999999999997,12.1,27.7,0.182,0.434,15.1,65.8,0.282,False
POR,31.3,0.0,3.0,0.0,0,3,97.3,113.4,-16.1,91.4,0.341,0.266,0.507,0.45399999999999996,14.6,22.1,0.258,0.486,10.6,65.6,0.237,False
MIA,29.8,0.0,3.0,0.0,0,3,87.5,112.4,-24.9,89.6,0.267,0.23,0.484,0.447,18.8,18.8,0.18899999999999997,0.496,13.6,69.7,0.363,False
