Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Made_Playoffs
GSW,28.4,16.0,5.0,0.762,17,4,113.9,103.6,10.3,96.5,0.237,0.365,0.581,0.545,11.9,21.8,0.195,0.48100000000000004,12.3,77.6,0.18600000000000003,False
IND,26.2,3.0,4.0,0.429,5,2,110.9,104.6,6.3,90.7,0.24100000000000002,0.33899999999999997,0.5670000000000001,0.542,12.9,21.6,0.171,0.503,14.3,77.7,0.23800000000000002,False
PHI,26.5,5.0,5.0,0.5,6,4,110.4,106.5,3.9,97.5,0.32,0.331,0.539,0.493,12.6,29.1,0.243,0.514,12.7,80.8,0.23199999999999998,False
HOU,29.8,11.0,6.0,0.647,10,7,109.6,107.7,1.9,95.7,0.261,0.466,0.552,0.514,11.3,20.0,0.201,0.53,13.2,80.1,0.188,False
BOS,24.8,11.0,8.0,0.579,10,9,107.7,107.0,0.7,93.1,0.28300000000000003,0.36700000000000005,0.541,0.5,11.1,20.4,0.217,0.518,12.9,79.5,0.20199999999999999,False
MIL,25.3,3.0,4.0,0.429,3,4,108.8,109.4,-0.6,92.3,0.254,0.32799999999999996,0.585,0.561,13.1,14.7,0.179,0.503,12.1,75.5,0.21899999999999997,False
NOP,26.8,5.0,4.0,0.556,4,5,107.1,107.8,-0.7,102.7,0.204,0.301,0.562,0.5329999999999999,12.9,17.7,0.16,0.514,12.0,78.8,0.16899999999999998,False
CLE,30.3,12.0,10.0,0.545,10,12,109.4,111.2,-1.8,91.6,0.282,0.37,0.55,0.512,12.1,23.5,0.212,0.529,11.5,79.4,0.195,False
WAS,27.0,2.0,4.0,0.33299999999999996,3,3,110.3,112.3,-2.0,97.2,0.27399999999999997,0.256,0.561,0.513,12.4,21.2,0.233,0.539,13.1,78.1,0.239,False
UTA,25.6,5.0,6.0,0.455,5,6,104.7,106.9,-2.2,97.8,0.284,0.361,0.5489999999999999,0.52,14.3,20.8,0.195,0.505,11.6,80.8,0.196,False
OKC,27.9,2.0,4.0,0.33299999999999996,2,4,103.5,107.9,-4.4,97.8,0.245,0.33299999999999996,0.528,0.49,12.7,20.8,0.18899999999999997,0.521,13.7,75.4,0.212,False
TOR,26.2,4.0,6.0,0.4,4,6,112.0,116.6,-4.6,94.8,0.29,0.324,0.578,0.536,13.1,23.2,0.23199999999999998,0.541,10.5,79.1,0.217,False
POR,25.6,0.0,4.0,0.0,1,3,106.9,116.0,-9.1,98.7,0.17300000000000001,0.354,0.539,0.512,12.9,23.9,0.135,0.5820000000000001,13.0,81.1,0.203,False
MIN,27.6,1.0,4.0,0.2,1,4,107.0,116.2,-9.2,95.0,0.276,0.264,0.5479999999999999,0.515,12.0,20.1,0.201,0.531,7.9,80.3,0.193,False
SAS,30.2,1.0,4.0,0.2,1,4,103.7,113.1,-9.4,93.3,0.27399999999999997,0.337,0.515,0.46299999999999997,10.5,18.5,0.22899999999999998,0.535,12.9,73.7,0.205,False
MIA,27.5,1.0,4.0,0.2,1,4,103.0,113.7,-10.7,100.4,0.345,0.33299999999999996,0.542,0.507,14.4,20.7,0.23399999999999999,0.514,13.6,70.4,0.27899999999999997,False
