Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Made_Playoffs
PHI,27.3,7.0,5.0,0.583,9,3,116.0,108.5,7.5,100.2,0.342,0.331,0.589,0.561,11.5,21.3,0.23399999999999999,0.502,11.2,78.8,0.235,False
BRK,28.7,7.0,5.0,0.583,8,4,116.1,109.6,6.5,96.1,0.235,0.413,0.5920000000000001,0.551,10.9,19.7,0.204,0.502,11.6,75.0,0.19,False
MIL,29.2,16.0,7.0,0.696,15,8,112.9,107.6,5.3,96.9,0.228,0.384,0.55,0.524,11.3,27.8,0.16399999999999998,0.523,12.2,81.6,0.16,False
PHO,26.6,14.0,8.0,0.636,14,8,114.7,110.0,4.7,95.1,0.21899999999999997,0.35,0.585,0.547,11.3,19.6,0.188,0.507,10.9,76.1,0.19399999999999998,False
LAC,29.3,10.0,9.0,0.526,12,7,120.2,115.9,4.3,92.8,0.29,0.444,0.604,0.562,10.4,21.5,0.23800000000000002,0.5429999999999999,11.1,76.9,0.17300000000000001,False
UTA,28.6,6.0,5.0,0.545,5,6,121.4,122.3,-0.9,96.3,0.28800000000000003,0.518,0.616,0.579,12.4,23.7,0.231,0.562,9.6,76.7,0.20800000000000002,False
POR,28.5,2.0,4.0,0.33299999999999996,3,3,121.6,122.9,-1.3,95.0,0.257,0.44299999999999995,0.608,0.5670000000000001,10.7,22.2,0.21899999999999997,0.555,9.9,73.5,0.21600000000000003,False
ATL,25.6,10.0,8.0,0.556,8,10,109.8,111.3,-1.5,96.8,0.24100000000000002,0.39399999999999996,0.5539999999999999,0.516,11.5,20.9,0.192,0.52,11.6,75.0,0.19699999999999998,False
DAL,26.2,3.0,4.0,0.429,2,5,115.5,121.1,-5.6,91.8,0.233,0.40700000000000003,0.5589999999999999,0.534,10.4,23.7,0.16399999999999998,0.5710000000000001,10.9,77.4,0.24600000000000002,False
DEN,26.3,4.0,6.0,0.4,3,7,116.8,122.4,-5.6,96.3,0.22699999999999998,0.418,0.5660000000000001,0.536,9.9,25.1,0.172,0.5760000000000001,10.6,79.6,0.223,False
LAL,29.1,2.0,4.0,0.33299999999999996,2,4,104.0,110.9,-6.9,93.8,0.295,0.396,0.52,0.473,12.9,23.7,0.22899999999999998,0.53,12.1,80.3,0.212,False
NYK,27.3,1.0,4.0,0.2,1,4,103.5,111.0,-7.5,93.7,0.252,0.35200000000000004,0.505,0.45799999999999996,11.3,24.6,0.20600000000000002,0.519,10.4,81.2,0.18899999999999997,False
MEM,24.0,1.0,4.0,0.2,1,4,115.6,124.0,-8.4,99.5,0.21600000000000003,0.335,0.556,0.523,9.1,23.8,0.172,0.586,12.2,75.4,0.257,False
BOS,25.0,1.0,4.0,0.2,1,4,117.1,128.7,-11.6,95.8,0.311,0.415,0.56,0.508,11.5,28.8,0.256,0.5820000000000001,10.6,73.5,0.29600000000000004,False
WAS,27.4,1.0,4.0,0.2,1,4,107.6,121.3,-13.7,102.2,0.327,0.273,0.5429999999999999,0.498,11.7,23.1,0.24600000000000002,0.575,10.3,77.4,0.23399999999999999,False
MIA,28.8,0.0,4.0,0.0,0,4,96.6,116.8,-20.2,98.9,0.22699999999999998,0.401,0.499,0.462,12.5,17.1,0.174,0.5379999999999999,12.6,68.6,0.177,False
