Team,Playoff_wins,Playoff_losses,Rank
GSW,16,5,1
CLE,14,6,7
HOU,9,8,3
ATL,8,8,2
LAC,7,7,4
WAS,6,4,12
MEM,6,5,5
CHI,6,6,9
SAS,3,4,6
MIL,2,4,14
BRK,2,4,16
POR,1,4,8
DAL,1,4,10
TOR,0,4,11
NOP,0,4,13
BOS,0,4,15
