Team,Playoff_wins,Playoff_losses,Rank
SAS,16,7,3
DET,15,10,5
MIA,11,4,2
PHO,9,6,1
OKC,6,5,6
DAL,6,7,4
IND,6,7,14
WAS,4,6,12
HOU,3,4,7
BOS,3,4,11
CHI,2,4,10
SAC,1,4,8
DEN,1,4,9
PHI,1,4,15
MEM,0,4,13
BRK,0,4,16
