Team,Playoff_wins,Playoff_losses,Rank
DET,16,7,6
LAL,13,9,4
IND,10,6,1
MIN,10,8,2
BRK,7,4,9
SAC,7,5,5
SAS,6,4,3
MIA,6,7,12
NOP,3,4,13
DAL,1,4,7
HOU,1,4,10
DEN,1,4,11
MIL,1,4,14
MEM,0,4,8
NYK,0,4,15
BOS,0,4,16
