Team,Playoff_wins,Playoff_losses,Rank
MIA,16,7,5
DAL,14,9,3
DET,10,8,1
PHO,10,10,4
LAC,7,5,9
SAS,7,6,2
CLE,7,6,6
BRK,5,6,7
LAL,3,4,10
SAC,2,4,12
WAS,2,4,13
IND,2,4,14
CHI,2,4,15
DEN,1,4,11
MIL,1,4,16
MEM,0,4,8
