Team,Playoff_wins,Playoff_losses,Rank
SAS,16,7,1
MIA,13,7,5
OKC,10,9,2
IND,10,9,4
WAS,6,5,13
LAC,6,7,3
POR,5,6,7
BRK,5,7,14
GSW,3,4,8
MEM,3,4,9
DAL,3,4,10
TOR,3,4,11
ATL,3,4,16
HOU,2,4,6
CHI,1,4,12
CHO,0,4,15
