Team,Playoff_wins,Playoff_losses,Rank
MIA,16,7,4
OKC,13,7,3
BOS,11,9,10
SAS,10,4,2
PHI,7,6,16
IND,6,5,5
LAL,5,7,6
LAC,4,7,9
MEM,3,4,7
DEN,3,4,11
CHI,2,4,1
ATL,2,4,8
ORL,1,4,12
NYK,1,4,14
DAL,0,4,13
UTA,0,4,15
