Team,Playoff_wins,Playoff_losses,Rank
DAL,16,5,5
MIA,14,7,3
CHI,9,7,1
OKC,9,8,7
MEM,7,6,12
ATL,6,6,13
BOS,5,4,6
LAL,4,6,4
SAS,2,4,2
ORL,2,4,8
POR,2,4,10
NOP,2,4,11
DEN,1,4,9
PHI,1,4,15
IND,1,4,16
NYK,0,4,14
