Team,Playoff_wins,Playoff_losses,Rank
MIL,16,7,7
PHO,14,8,2
ATL,10,8,12
LAC,10,9,6
PHI,7,5,3
BRK,7,5,4
UTA,6,5,1
DEN,4,6,5
DAL,3,4,8
POR,2,4,9
LAL,2,4,10
NYK,1,4,11
MEM,1,4,14
BOS,1,4,15
WAS,1,4,16
MIA,0,4,13
