Team,Playoff_wins,Playoff_losses,Rank
TOR,16,8,2
GSW,14,8,3
MIL,10,5,1
POR,8,8,5
PHI,7,5,7
DEN,7,7,4
HOU,6,5,6
BOS,5,4,9
SAS,3,4,12
LAC,2,4,13
UTA,1,4,8
OKC,1,4,10
BRK,1,4,14
ORL,1,4,15
IND,0,4,11
DET,0,4,16
