Team,Playoff_wins,Playoff_losses,Rank
CLE,16,5,3
GSW,15,9,1
OKC,11,7,5
TOR,10,10,4
MIA,7,7,7
SAS,6,4,2
POR,5,6,12
ATL,4,6,8
CHO,3,4,10
IND,3,4,11
LAC,2,4,6
BOS,2,4,9
DAL,1,4,14
HOU,1,4,16
DET,0,4,13
MEM,0,4,15
