Team,Playoff_wins,Playoff_losses,Rank
LAL,16,5,3
MIA,14,7,9
BOS,10,7,5
DEN,9,10,6
TOR,7,4,2
LAC,7,6,4
MIL,5,5,1
HOU,5,7,8
OKC,3,4,10
UTA,3,4,11
DAL,2,4,13
POR,1,4,15
ORL,1,4,16
IND,0,4,7
PHI,0,4,12
BRK,0,4,14
