Team,Playoff_wins,Playoff_losses,Rank
MIA,16,7,1
SAS,15,6,3
IND,11,8,8
MEM,8,7,6
NYK,6,6,7
GSW,6,6,10
OKC,5,6,2
CHI,5,7,11
BRK,3,4,9
DEN,2,4,4
LAC,2,4,5
HOU,2,4,13
ATL,2,4,14
BOS,2,4,15
LAL,0,4,12
MIL,0,4,16
