Team,Playoff_wins,Playoff_losses,Rank
BOS,16,10,1
LAL,14,7,3
DET,10,7,2
SAS,9,8,5
NOP,7,5,4
CLE,7,6,12
UTA,6,6,8
ORL,5,5,9
ATL,3,4,16
HOU,2,4,6
WAS,2,4,13
PHI,2,4,15
PHO,1,4,7
DAL,1,4,10
TOR,1,4,14
DEN,0,4,11
