Team,Playoff_wins,Playoff_losses,Rank
LAL,16,7,3
BOS,15,9,9
ORL,10,4,2
PHO,10,6,5
CLE,6,5,1
UTA,4,6,8
SAS,4,6,11
ATL,4,7,6
MIL,3,4,14
DAL,2,4,4
DEN,2,4,7
POR,2,4,10
OKC,2,4,12
MIA,1,4,13
CHI,1,4,16
CHO,0,4,15
