Team,Playoff_wins,Playoff_losses,Rank
GSW,16,5,3
CLE,12,10,6
HOU,11,6,1
BOS,11,8,4
NOP,5,4,11
PHI,5,5,5
UTA,5,6,10
TOR,4,6,2
IND,3,4,9
MIL,3,4,15
OKC,2,4,8
WAS,2,4,16
SAS,1,4,12
MIN,1,4,13
MIA,1,4,14
POR,0,4,7
