Team,Playoff_wins,Playoff_losses,Rank
SAS,16,4,3
CLE,12,8,7
DET,10,6,4
UTA,9,8,6
CHI,6,4,8
PHO,6,5,2
BRK,6,6,14
GSW,5,6,13
HOU,3,4,5
DAL,2,4,1
TOR,2,4,9
DEN,1,4,10
LAL,1,4,12
MIA,0,4,11
WAS,0,4,15
ORL,0,4,16
