Team,Playoff_wins,Playoff_losses,Rank
GSW,16,1,1
CLE,13,5,5
BOS,9,9,4
SAS,8,8,2
WAS,7,6,9
HOU,6,5,3
TOR,4,6,6
UTA,4,7,8
LAC,3,4,7
ATL,2,4,11
MEM,2,4,12
MIL,2,4,13
CHI,2,4,15
OKC,1,4,10
IND,0,4,14
POR,0,4,16
