Team,Playoff_wins,Playoff_losses,Rank
GSW,16,6,4
BOS,14,10,6
MIA,11,7,3
DAL,9,9,5
MIL,7,5,7
PHO,7,6,1
MEM,6,6,2
PHI,6,6,8
UTA,2,4,9
TOR,2,4,10
MIN,2,4,13
NOP,2,4,16
DEN,1,4,11
CHI,1,4,12
ATL,1,4,15
BRK,0,4,14
