Team,Playoff_wins,Playoff_losses,Rank
LAL,16,7,2
ORL,13,11,4
CLE,10,4,1
DEN,10,6,5
HOU,7,6,8
BOS,7,7,3
DAL,5,5,9
ATL,4,7,12
MIA,3,4,13
CHI,3,4,15
POR,2,4,7
PHI,2,4,14
SAS,1,4,6
NOP,1,4,10
UTA,1,4,11
DET,0,4,16
