Player,Pos,Age,Tm,G,MP,FG%,AvgDistance,2PAr,0-3Ar,3-10Ar,10-16Ar,16-3PAr,3PAr,2P%,0-3%,3-10%,10-16%,16-3P%,3P%,2P_Assisted,3P_Assisted,DunksAr,Dunks,3PCornerAr,3PCorner%,HeavesAttempted,Heaves
Tom Gugliotta,SF,28,MIN,41,1582,.502,12.7,.973,.208,.169,.187,.409,.027,.513,.652,.421,.429,.519,.118,.694,1.000,.028,18,.059,.000,0,0
Jack Haley,C,34,NJN,16,51,.278,9.2,.944,.500,.278,.167,.000,.056,.294,.333,.400,.000,,.000,.800,,.056,1,.000,,0,0
Darvin Ham,SF,24,WAS,71,635,.529,4.7,1.000,.779,.154,.029,.038,.000,.529,.617,.188,.000,.500,,.582,,.337,33,,,0,0
Tom Hammonds,PF,30,MIN,57,1140,.516,7.3,.996,.415,.366,.146,.069,.004,.518,.647,.411,.500,.353,.000,.669,,.110,24,.000,,0,0
Reggie Hanson,SF,29,BOS,8,26,.500,7.2,1.000,.833,.167,.000,.000,.000,.500,.600,.000,,,,1.000,,.000,0,,,0,0
Anfernee Hardaway,SG,26,ORL,19,625,.377,13.5,.817,.264,.168,.161,.220,.183,.395,.639,.217,.386,.250,.300,.500,1.000,.033,9,.040,.000,1,0
Tim Hardaway*,PG,31,MIA,81,3031,.431,16.5,.659,.193,.130,.098,.238,.341,.472,.584,.432,.339,.458,.351,.174,.471,.000,0,.081,.333,7,2
Derek Harper,SG,36,ORL,66,1761,.417,17.8,.697,.164,.035,.098,.400,.303,.442,.562,.316,.226,.456,.360,.557,.729,.002,1,.183,.533,0,0
Ron Harper,PG,34,CHI,82,2284,.441,11.3,.874,.414,.153,.135,.171,.126,.477,.636,.363,.278,.351,.190,.643,.938,.029,14,.238,.350,0,0
Othella Harrington,PF,24,HOU,58,903,.485,7.9,.996,.241,.508,.184,.064,.004,.487,.625,.474,.429,.235,.000,.558,,.015,2,.000,,1,0
Lucious Harris,SG,27,NJN,50,671,.390,16.4,.780,.237,.062,.090,.390,.220,.413,.452,.182,.375,.435,.308,.632,1.000,.011,2,.231,.333,0,0
Hersey Hawkins,SG,31,SEA,82,2597,.440,17.4,.527,.171,.115,.057,.184,.473,.463,.670,.370,.333,.368,.415,.665,.976,.000,0,.156,.447,0,0
Alan Henderson,PF,25,ATL,69,2000,.485,7.8,.992,.406,.300,.231,.054,.008,.485,.660,.350,.351,.488,.500,.569,.667,.110,71,.333,.500,0,0
Cedric Henderson,SF,22,CLE,82,2527,.480,9.5,.994,.381,.126,.246,.243,.006,.483,.656,.330,.303,.472,.000,.787,,.108,73,.250,.000,0,0
Mark Hendrickson,PF,23,SAC,48,737,.389,14.1,.966,.215,.074,.195,.483,.034,.403,.594,.273,.310,.375,.000,.793,,.054,8,.000,,0,0
Steve Henson,PG,29,DET,23,65,.500,18.8,.692,.192,.000,.192,.308,.308,.556,.800,,.400,.500,.375,.300,1.000,.000,0,.125,.000,1,0
Carl Herrera,PF,31,SAS,58,516,.434,8.8,.994,.234,.411,.251,.097,.006,.437,.488,.500,.318,.353,.000,.566,,.017,3,.000,,0,0
Sean Higgins,SF,29,POR,2,12,.000,20.2,.600,.000,.000,.000,.600,.400,.000,,,,.000,.000,,,.000,0,.000,,0,0
Grant Hill*,SF,25,DET,81,3294,.452,11.0,.985,.329,.154,.245,.256,.015,.457,.654,.338,.348,.378,.143,.273,1.000,.062,79,.048,.000,1,0
Tyrone Hill,PF,29,MIL,57,2064,.498,6.4,.998,.598,.280,.098,.022,.002,.499,.608,.350,.268,.444,.000,.596,,.084,32,.000,,0,0
Fred Hoiberg,SG,25,IND,65,874,.383,17.1,.617,.212,.036,.063,.306,.383,.387,.532,.125,.214,.353,.376,.811,.938,.018,4,.153,.308,0,0
Jerald Honeycutt,PF,23,MIL,38,530,.407,14.9,.652,.231,.195,.158,.068,.348,.424,.608,.395,.286,.200,.377,.492,.966,.054,11,.351,.444,3,0
Jeff Hornacek,SG,34,UTA,80,2460,.482,15.0,.847,.181,.136,.136,.393,.153,.489,.587,.496,.381,.480,.441,.650,.929,.000,0,.126,.438,1,0
Robert Horry,PF,27,LAL,72,2192,.476,11.1,.779,.452,.162,.081,.083,.221,.554,.716,.338,.265,.371,.204,.657,.895,.179,71,.118,.455,0,0
Allan Houston,SG,26,NYK,82,2848,.447,14.7,.833,.186,.119,.208,.319,.167,.460,.563,.388,.361,.490,.385,.532,.951,.020,24,.178,.447,2,0
Juwan Howard,PF,24,WAS,64,2559,.467,9.2,.998,.231,.279,.368,.120,.002,.468,.607,.380,.449,.462,.000,.654,,.053,49,.000,,0,0
Stephen Howard,SF,27,SEA,13,53,.381,6.0,1.000,.524,.333,.095,.048,.000,.381,.455,.286,.000,1.000,,.375,,.000,0,,,0,0
Troy Hudson,PG,21,UTA,8,23,.429,16.6,.786,.286,.000,.143,.357,.214,.545,.500,,.500,.600,.000,.333,,.071,1,.000,,0,0
Lindsey Hunter,PG,27,DET,71,2505,.383,16.6,.679,.186,.069,.146,.277,.321,.412,.545,.281,.314,.406,.321,.385,.847,.006,5,.177,.255,1,0
Bobby Hurley,PG,26,TOT,61,875,.391,15.1,.908,.189,.092,.143,.483,.092,.407,.467,.182,.382,.435,.227,.500,1.000,.000,0,.000,,0,0
Bobby Hurley,PG,26,SAC,34,417,.409,15.4,.870,.165,.113,.174,.417,.130,.430,.474,.308,.500,.417,.267,.535,1.000,.000,0,.000,,0,0
Bobby Hurley,PG,26,VAN,27,458,.374,14.8,.943,.211,.073,.114,.545,.057,.388,.462,.000,.214,.448,.143,.467,1.000,.000,0,.000,,0,0
Zydrunas Ilgauskas,C,22,CLE,82,2379,.518,5.9,.995,.420,.364,.180,.031,.005,.519,.660,.423,.399,.444,.250,.649,1.000,.092,81,.000,,1,0
Allen Iverson*,PG,22,PHI,80,3150,.461,12.5,.833,.335,.147,.151,.200,.167,.494,.599,.396,.387,.472,.298,.358,.843,.026,33,.081,.579,0,0
Bobby Jackson,PG,24,DEN,68,2042,.392,14.4,.898,.226,.091,.193,.387,.102,.407,.525,.306,.373,.379,.259,.457,.429,.001,1,.086,.286,1,0
Jaren Jackson,SG,30,SAS,82,2226,.394,18.7,.546,.133,.043,.070,.300,.454,.409,.460,.286,.326,.423,.377,.726,.938,.003,2,.246,.370,1,0
Jim Jackson,SG,27,TOT,79,3046,.430,13.4,.827,.196,.188,.213,.230,.173,.453,.608,.394,.386,.431,.319,.545,.934,.026,25,.283,.315,3,0
Jim Jackson,SG,27,PHI,48,1788,.460,13.5,.791,.243,.163,.166,.219,.209,.489,.600,.460,.404,.453,.348,.560,.923,.021,11,.348,.308,1,0
Jim Jackson,SG,27,GSW,31,1258,.402,13.3,.862,.152,.212,.257,.241,.138,.422,.621,.347,.374,.413,.278,.529,.955,.031,14,.190,.333,2,0
Mark Jackson,PG,32,IND,82,2413,.416,12.3,.771,.234,.321,.115,.100,.229,.447,.543,.443,.275,.433,.314,.257,.860,.000,0,.036,.600,2,1
Henry James,PF,32,CLE,28,166,.407,18.1,.576,.051,.068,.186,.271,.424,.382,.667,.500,.455,.250,.440,.846,.909,.000,0,.280,.571,0,0
Anthony Johnson,PG,23,SAC,77,2266,.371,14.1,.790,.213,.182,.163,.232,.210,.383,.569,.342,.273,.319,.328,.576,.881,.030,17,.211,.370,0,0
Avery Johnson,PG,32,SAS,75,2674,.478,9.3,.981,.466,.195,.091,.228,.019,.485,.588,.405,.328,.405,.154,.417,1.000,.000,0,.077,.000,1,0
Eddie Johnson,SF,38,HOU,75,1490,.417,17.0,.636,.167,.079,.134,.256,.364,.465,.593,.419,.384,.439,.333,.733,.985,.000,0,.167,.333,0,0
Ervin Johnson,C,30,MIL,81,2261,.537,5.8,1.000,.490,.420,.076,.013,.000,.537,.671,.414,.361,.500,,.601,,.121,56,,,0,0
Kevin Johnson,PG,31,PHO,50,1290,.447,13.3,.925,.300,.063,.222,.340,.075,.470,.654,.318,.299,.449,.154,.364,1.000,.000,0,.154,.000,2,0
Larry Johnson,SF,28,NYK,70,2412,.485,9.0,.929,.466,.208,.178,.077,.071,.504,.675,.375,.293,.309,.238,.638,.933,.012,10,.095,.167,2,0
Charles Jones,PF,40,HOU,24,127,.700,3.4,1.000,.600,.300,.100,.000,.000,.700,1.000,.333,.000,,,.143,,.100,1,,,0,0
Dontae' Jones,SF,22,BOS,15,91,.333,16.9,.596,.140,.053,.140,.263,.404,.382,.500,.333,.250,.400,.261,.769,1.000,.035,2,.217,.400,0,0
Eddie Jones,SG,26,LAL,80,2910,.484,14.0,.634,.380,.093,.077,.085,.366,.538,.670,.290,.351,.388,.389,.659,.965,.105,102,.277,.422,0,0
Popeye Jones,PF,27,TOR,14,352,.409,12.7,.976,.220,.189,.228,.339,.024,.403,.500,.542,.207,.395,.667,.640,1.000,.008,1,.000,,0,0
Michael Jordan*,SG,34,CHI,82,3181,.465,13.2,.933,.221,.106,.278,.328,.067,.482,.644,.373,.416,.462,.238,.498,.800,.049,89,.032,.500,1,0
Reggie Jordan,SG,30,MIN,57,487,.478,7.4,.991,.664,.221,.053,.053,.009,.482,.560,.320,.167,.500,.000,.648,,.088,8,.000,,0,0
Adam Keefe,C,27,UTA,80,2047,.540,8.0,1.000,.566,.191,.083,.160,.000,.540,.658,.346,.457,.397,,.808,,.139,55,,,0,0
Shawn Kemp,PF,28,CLE,80,2769,.445,8.4,.993,.387,.240,.180,.187,.007,.446,.583,.344,.388,.349,.250,.663,1.000,.091,99,.000,,1,0
Tim Kempton,PF,34,TOT,8,47,.222,10.2,1.000,.222,.333,.222,.222,.000,.222,.000,.333,.500,.000,,1.000,,.000,0,,,0,0
Tim Kempton,PF,34,ORL,3,15,.000,8.0,1.000,.000,.500,.500,.000,.000,.000,,.000,.000,,,,,.000,0,,,0,0
Tim Kempton,PF,34,TOR,5,32,.286,10.8,1.000,.286,.286,.143,.286,.000,.286,.000,.500,1.000,.000,,1.000,,.000,0,,,0,0
Steve Kerr,PG,32,CHI,50,1119,.454,19.7,.570,.043,.040,.132,.354,.430,.465,.846,.333,.350,.477,.438,.788,.947,.000,0,.077,.300,0,0
Jerome Kersey,SF,35,SEA,37,717,.416,14.0,.957,.189,.142,.133,.494,.043,.430,.545,.364,.419,.409,.100,.792,1.000,.009,2,.500,.200,0,0
Jason Kidd*,PG,24,PHO,82,3118,.416,15.4,.729,.269,.087,.142,.231,.271,.454,.567,.373,.402,.384,.313,.394,.863,.020,14,.116,.259,3,0
Kerry Kittles,SG,23,NJN,77,2814,.440,14.8,.772,.224,.135,.134,.278,.228,.447,.637,.301,.374,.399,.418,.533,.918,.061,65,.061,.625,1,0
Joe Kleine,C,36,CHI,46,397,.368,12.2,1.000,.066,.264,.396,.274,.000,.368,.429,.321,.310,.483,,.795,,.000,0,,,0,0
Brevin Knight,PG,22,CLE,80,2483,.441,10.8,.988,.260,.194,.228,.306,.012,.446,.506,.383,.400,.470,.000,.383,,.000,0,.286,.000,0,0
Travis Knight,C,23,BOS,74,1503,.441,12.2,.874,.322,.112,.112,.329,.126,.465,.610,.327,.286,.431,.273,.680,1.000,.053,20,.036,.000,0,0
Toni Kukoč*,SF,29,CHI,74,2235,.455,14.5,.793,.268,.114,.114,.296,.207,.480,.680,.396,.344,.382,.362,.584,.921,.025,20,.138,.333,2,0
Christian Laettner,PF,28,ATL,74,2282,.485,10.4,.963,.355,.192,.210,.207,.037,.495,.595,.421,.399,.490,.222,.563,1.000,.042,26,.148,.000,0,0
Andrew Lang,C,31,MIL,57,692,.378,8.4,.993,.252,.448,.245,.049,.007,.380,.611,.328,.257,.286,.000,.574,,.084,10,.000,,0,0
Antonio Lang,SF,25,MIA,6,29,.600,5.6,1.000,.600,.400,.000,.000,.000,.600,.667,.500,,,,.667,,.000,0,,,0,0
Rusty LaRue,PG,24,CHI,14,140,.408,18.4,.673,.122,.061,.082,.408,.327,.485,.500,1.000,.250,.450,.250,.625,.500,.000,0,.063,.000,0,0
Priest Lauderdale,C,24,DEN,39,345,.417,7.2,1.000,.291,.465,.213,.031,.000,.417,.757,.305,.222,.250,,.491,,.157,20,,,0,0
Jason Lawson,C,23,ORL,17,80,.600,5.8,1.000,.667,.267,.000,.067,.000,.600,.700,.500,,.000,,.667,,.200,3,,,0,0
Tim Legler,SG,31,WAS,8,76,.158,15.3,.684,.053,.105,.368,.158,.316,.231,.000,.000,.143,.667,.000,1.000,,.000,0,.500,.000,0,0
Voshon Lenard,SG,24,MIA,81,2621,.425,17.9,.557,.152,.066,.093,.247,.443,.441,.600,.196,.380,.431,.405,.624,.961,.002,2,.384,.414,0,0
Alton Lister,C,39,POR,7,44,.375,11.4,1.000,.125,.375,.250,.250,.000,.375,.000,.333,.000,1.000,,.333,,.000,0,,,0,0
Randy Livingston,PG,22,ATL,12,82,.250,9.7,1.000,.583,.167,.083,.167,.000,.250,.143,1.000,.000,.000,,.667,,.000,0,,,0,0
Horacio Llamas,C,24,PHO,8,42,.381,10.2,.857,.238,.381,.190,.048,.143,.389,.600,.250,.250,1.000,.333,.571,.000,.000,0,.000,,0,0
Brad Lohaus,PF,33,SAS,9,102,.333,22.3,.333,.000,.000,.000,.333,.667,.429,,,,.429,.286,.667,1.000,.000,0,.071,1.000,0,0
Grant Long,PF,31,DET,40,739,.427,10.9,.966,.376,.145,.222,.222,.034,.442,.614,.353,.192,.462,.000,.880,,.085,10,.000,,0,0
Luc Longley,C,29,CHI,58,1703,.455,9.4,1.000,.346,.255,.238,.161,.000,.455,.597,.342,.393,.418,,.726,,.074,39,,,0,0
George Lynch,SF,27,VAN,82,1493,.481,10.2,.942,.370,.165,.194,.213,.058,.492,.618,.353,.380,.482,.300,.657,.778,.029,14,.267,.500,2,0
Sam Mack,SF,27,VAN,57,1414,.397,17.6,.519,.150,.077,.098,.193,.481,.386,.643,.302,.236,.296,.409,.616,.936,.009,5,.290,.577,0,0
Don MacLean,SF,28,NJN,9,42,.100,17.6,.800,.000,.000,.300,.500,.200,.000,,,.000,.000,.500,,1.000,.000,0,1.000,.500,0,0
