Player,Pos,Age,Tm,G,MP,FG%,AvgDistance,2PAr,0-3Ar,3-10Ar,10-16Ar,16-3PAr,3PAr,2P%,0-3%,3-10%,10-16%,16-3P%,3P%,2P_Assisted,3P_Assisted,DunksAr,Dunks,3PCornerAr,3PCorner%,HeavesAttempted,Heaves
Tariq Abdul-Wahad,SG,24,SAC,49,1205,.435,11.2,.948,.359,.194,.113,.283,.052,.443,.658,.304,.283,.330,.286,.684,1.000,.111,41,.095,.500,1,0
Shareef Abdur-Rahim,SF,22,VAN,50,2021,.432,8.7,.960,.334,.331,.135,.159,.040,.438,.557,.372,.388,.366,.306,.536,.909,.074,62,.667,.333,1,0
Cory Alexander,PG,25,DEN,36,778,.373,18.0,.596,.127,.104,.108,.258,.404,.432,.455,.593,.393,.373,.286,.254,.733,.000,0,.105,.455,0,0
Ray Allen*,SG,23,MIL,50,1719,.450,15.2,.691,.223,.108,.178,.181,.309,.492,.653,.479,.400,.393,.356,.419,.851,.048,31,.274,.456,2,0
Peter Aluma,C,25,SAC,2,5,.500,7.5,1.000,1.000,.000,.000,.000,.000,.500,.500,,,,,.000,,.000,0,,,0,0
Derek Anderson,SG,24,CLE,38,978,.398,14.7,.780,.261,.057,.159,.303,.220,.424,.524,.222,.340,.421,.304,.481,.667,.057,14,.116,.500,1,0
Kenny Anderson,PG,28,BOS,34,1010,.451,11.1,.933,.325,.160,.182,.266,.067,.465,.586,.368,.400,.421,.250,.335,.667,.000,0,.042,.000,0,0
Nick Anderson,SF,31,ORL,47,1581,.395,16.3,.567,.167,.184,.092,.123,.433,.433,.589,.331,.339,.443,.347,.490,.958,.009,6,.152,.405,3,0
Shandon Anderson,SG,25,UTA,50,1072,.446,11.1,.887,.455,.154,.099,.179,.113,.460,.642,.304,.222,.262,.341,.743,.929,.036,12,.146,.500,1,0
Chris Anstey,C,24,DAL,41,470,.360,12.9,.950,.309,.129,.137,.374,.050,.379,.488,.389,.000,.423,.000,.780,,.086,10,.143,.000,1,0
Greg Anthony,PG,31,POR,50,806,.414,17.9,.502,.195,.056,.092,.159,.498,.437,.571,.500,.217,.375,.392,.327,.796,.000,0,.192,.500,0,0
B.J. Armstrong,PG,31,TOT,32,358,.455,15.4,.830,.193,.057,.182,.398,.170,.452,.471,.400,.375,.486,.467,.364,1.000,.000,0,.333,.600,0,0
B.J. Armstrong,PG,31,CHH,10,178,.488,14.7,.814,.209,.093,.233,.279,.186,.429,.556,.250,.400,.417,.750,.267,1.000,.000,0,.500,.750,0,0
B.J. Armstrong,PG,31,ORL,22,180,.422,16.1,.844,.178,.022,.133,.511,.156,.474,.375,1.000,.333,.522,.143,.444,1.000,.000,0,.143,.000,0,0
Darrell Armstrong,PG,30,ORL,50,1502,.441,16.6,.638,.253,.059,.113,.213,.362,.483,.598,.387,.441,.396,.365,.304,.696,.021,10,.132,.360,3,0
Keith Askins,SF,31,MIA,33,415,.323,19.7,.532,.081,.048,.000,.403,.468,.364,.800,.333,,.280,.276,.917,1.000,.000,0,.621,.222,0,0
Stacey Augmon,SF,30,POR,48,874,.448,11.8,.989,.374,.155,.103,.356,.011,.453,.538,.407,.444,.387,.000,.641,,.115,17,.000,,1,0
Isaac Austin,C,29,ORL,49,1259,.408,11.0,.985,.294,.192,.236,.263,.015,.410,.564,.310,.336,.378,.286,.667,1.000,.082,30,.143,1.000,0,0
Anthony Avent,PF,29,UTA,5,44,.308,9.2,1.000,.231,.538,.231,.000,.000,.308,.333,.286,.333,,,.250,,.000,0,,,0,0
Thurl Bailey,PF,37,UTA,43,543,.446,10.5,.989,.257,.331,.131,.269,.011,.451,.533,.345,.391,.532,.000,.782,,.034,5,.500,.000,0,0
Toby Bailey,SG,23,PHO,27,249,.395,11.8,.942,.360,.140,.140,.302,.058,.407,.613,.083,.333,.346,.200,.758,1.000,.081,7,.200,.000,0,0
Mark Baker,PG,29,TOR,1,2,.000,1.0,1.000,1.000,.000,.000,.000,.000,.000,.000,,,,,,,.000,0,,,0,0
Vin Baker,PF,27,SEA,34,1162,.453,9.9,.993,.284,.288,.144,.277,.007,.456,.702,.310,.302,.438,.000,.702,,.055,21,.000,,1,0
Charles Barkley*,PF,35,HOU,42,1526,.478,9.4,.950,.400,.239,.209,.102,.050,.495,.647,.408,.324,.451,.160,.326,.750,.054,26,.320,.250,1,0
