Player,Pos,Age,Tm,G,MP,FG%,AvgDistance,2PAr,0-3Ar,3-10Ar,10-16Ar,16-3PAr,3PAr,2P%,0-3%,3-10%,10-16%,16-3P%,3P%,2P_Assisted,3P_Assisted,DunksAr,Dunks,3PCornerAr,3PCorner%,HeavesAttempted,Heaves
Mahmoud Abdul-Rauf,PG,27,SAC,75,2131,.445,18.1,.734,.067,.026,.133,.508,.266,.468,.484,.375,.423,.482,.382,.580,.734,.000,0,.045,.364,0,0
Shareef Abdur-Rahim,PF,20,VAN,80,2802,.453,9.7,.978,.495,.190,.144,.148,.022,.457,.529,.420,.354,.367,.259,.573,.714,.075,85,.111,.333,1,0
Rafael Addison,SF,32,CHH,41,355,.402,15.0,.836,.287,.074,.123,.352,.164,.402,.343,.111,.467,.488,.400,.829,1.000,.008,1,.000,,0,0
Cory Alexander,PG,23,SAS,80,1454,.396,17.8,.486,.224,.047,.055,.159,.514,.420,.418,.565,.185,.462,.373,.330,.574,.006,3,.048,.500,0,0
Jerome Allen,SG,24,TOT,76,943,.353,15.7,.579,.344,.086,.054,.090,.421,.375,.447,.211,.333,.250,.323,.438,.667,.023,4,.194,.333,2,0
Jerome Allen,SG,24,IND,51,692,.388,15.7,.599,.313,.116,.068,.095,.401,.386,.478,.235,.300,.286,.390,.471,.739,.020,2,.220,.462,2,0
Jerome Allen,SG,24,DEN,25,251,.284,15.8,.541,.405,.027,.027,.081,.459,.350,.400,.000,.500,.167,.206,.357,.429,.027,2,.147,.000,0,0
Ray Allen*,SG,21,MIL,82,2532,.430,15.2,.672,.251,.098,.189,.133,.328,.448,.474,.461,.413,.438,.393,.388,.778,.025,21,.171,.490,3,1
Derrick Alston,C,24,ATL,2,11,.000,11.1,1.000,.600,.200,.200,.000,.000,.000,.000,.000,.000,,,,,.000,0,,,0,0
Ashraf Amaya,PF,25,WSB,31,144,.300,10.3,.975,.625,.100,.225,.025,.025,.282,.360,.500,.000,.000,1.000,.455,1.000,.050,2,.000,,0,0
Greg Anderson,C,32,SAS,82,1659,.496,7.0,.996,.824,.149,.023,.000,.004,.498,.500,.513,.333,,.000,.615,,.038,8,.000,,0,0
Kenny Anderson,PG,26,POR,82,3081,.427,13.8,.678,.373,.087,.106,.112,.322,.458,.521,.303,.364,.457,.361,.184,.538,.000,0,.022,.125,0,0
Nick Anderson,SG,29,ORL,63,2163,.397,17.1,.441,.157,.124,.084,.076,.559,.453,.553,.400,.311,.491,.353,.448,.923,.028,19,.121,.490,2,0
Shandon Anderson,SG,23,UTA,65,1066,.462,11.0,.852,.478,.151,.119,.104,.148,.454,.539,.417,.263,.333,.511,.780,.917,.038,11,.043,.000,0,0
Willie Anderson,SG,30,MIA,28,303,.453,12.7,.703,.281,.250,.063,.109,.297,.467,.667,.313,.250,.429,.421,.571,1.000,.031,2,.368,.714,0,0
Greg Anthony,PG,29,VAN,65,1863,.393,16.9,.531,.272,.028,.107,.124,.469,.413,.486,.500,.259,.365,.370,.324,.761,.000,0,.160,.289,0,0
B.J. Armstrong,PG,29,GSW,49,1020,.453,15.2,.725,.202,.089,.153,.281,.275,.519,.712,.483,.420,.446,.278,.504,.920,.000,0,.133,.333,0,0
Darrell Armstrong,PG,28,ORL,67,1010,.383,17.1,.475,.252,.064,.070,.090,.525,.470,.540,.500,.250,.419,.304,.286,.727,.014,5,.144,.462,0,0
Vincent Askew,SG,30,TOT,43,838,.435,11.9,.871,.371,.194,.145,.161,.129,.457,.493,.444,.444,.400,.292,.459,.857,.000,0,.042,1.000,0,0
Vincent Askew,SG,30,NJN,1,7,,,,,,,,,,,,,,,,,,0,,,0,0
Vincent Askew,SG,30,IND,41,822,.432,12.0,.869,.366,.191,.148,.164,.131,.453,.493,.429,.444,.400,.292,.458,.857,.000,0,.042,1.000,0,0
Vincent Askew,SG,30,DEN,1,9,.667,7.3,1.000,.667,.333,.000,.000,.000,.667,.500,1.000,,,,.500,,.000,0,,,0,0
Keith Askins,SF,29,MIA,78,1773,.433,17.7,.461,.182,.085,.034,.160,.539,.469,.586,.259,.273,.490,.401,.696,.942,.013,4,.459,.418,0,0
Stacey Augmon,SG,28,TOT,60,942,.477,8.1,1.000,.586,.223,.141,.050,.000,.477,.550,.367,.355,.455,,.505,,.077,16,,,0,0
Stacey Augmon,SG,28,DET,20,292,.403,9.0,1.000,.610,.182,.195,.013,.000,.403,.447,.429,.267,.000,,.419,,.065,5,,,0,0
Stacey Augmon,SG,28,POR,40,650,.517,7.6,1.000,.573,.245,.112,.070,.000,.517,.610,.343,.438,.500,,.541,,.084,11,,,0,0
