Tm,G,MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS,OPP_Made_Playoffs
CHI,6,240.0,31.7,77.8,0.40700000000000003,3.3,13.5,0.247,28.3,64.3,0.44,19.3,25.7,0.753,9.8,31.3,41.2,17.2,7.5,6.3,9.8,18.8,86.0,False
ATL,6,244.2,33.2,76.7,0.433,4.3,14.7,0.295,28.8,62.0,0.465,16.2,20.2,0.802,7.0,34.2,41.2,19.8,9.0,6.2,12.8,18.8,86.8,False
PHI,13,240.0,33.5,77.9,0.43,4.4,14.8,0.297,29.2,63.2,0.462,15.5,20.3,0.7609999999999999,9.4,34.2,43.6,22.2,6.8,6.0,14.3,21.0,86.9,False
BOS,20,243.8,33.4,78.2,0.42700000000000005,5.8,17.9,0.324,27.6,60.3,0.45799999999999996,15.9,22.4,0.71,10.6,31.7,42.2,18.2,6.6,4.4,13.7,19.8,88.5,False
IND,11,242.3,33.3,77.5,0.43,6.2,19.4,0.319,27.1,58.1,0.466,16.8,23.4,0.72,10.5,29.1,39.5,16.2,6.8,5.5,13.4,20.4,89.5,False
MIA,23,242.2,33.5,77.7,0.431,5.5,18.4,0.3,28.0,59.3,0.47100000000000003,17.8,23.3,0.764,10.7,28.7,39.4,15.8,6.9,3.8,14.3,23.9,90.3,False
MEM,7,243.6,33.3,73.7,0.452,6.1,17.6,0.35,27.1,56.1,0.483,18.0,26.9,0.67,9.3,27.7,37.0,16.3,9.3,6.1,15.1,25.6,90.7,False
ORL,5,245.0,36.4,81.8,0.445,5.8,18.2,0.319,30.6,63.6,0.48100000000000004,16.0,20.8,0.769,13.2,33.6,46.8,16.2,7.4,6.2,14.0,19.0,94.6,False
LAC,11,242.3,34.7,76.5,0.45399999999999996,5.6,15.5,0.365,29.1,61.0,0.47700000000000004,20.5,27.7,0.738,11.5,30.5,42.0,20.1,7.3,5.0,15.1,21.5,95.5,False
SAS,14,240.0,36.4,81.7,0.445,5.7,15.4,0.37,30.6,66.3,0.462,17.6,23.5,0.7509999999999999,10.8,30.9,41.7,19.3,8.8,7.0,13.3,20.9,96.1,False
DEN,7,240.0,37.0,86.9,0.426,6.1,19.4,0.316,30.9,67.4,0.45799999999999996,16.1,22.6,0.715,16.1,31.3,47.4,21.4,5.9,9.4,12.0,18.7,96.3,False
NYK,5,240.0,33.0,72.4,0.456,8.0,21.8,0.36700000000000005,25.0,50.6,0.494,22.8,30.2,0.755,9.8,28.8,38.6,19.0,9.2,3.8,13.6,19.8,96.8,False
OKC,20,240.0,34.5,78.2,0.441,7.8,20.2,0.384,26.8,58.0,0.462,20.5,25.5,0.8059999999999999,10.3,30.1,40.4,17.8,6.3,4.1,14.2,20.9,97.3,False
LAL,12,240.0,37.9,85.6,0.44299999999999995,5.3,17.8,0.29600000000000004,32.7,67.8,0.48200000000000004,17.1,22.1,0.774,13.3,31.5,44.8,19.2,7.8,7.4,10.3,21.7,98.2,False
DAL,4,240.0,35.8,76.5,0.467,8.0,21.0,0.381,27.8,55.5,0.5,20.3,24.0,0.8440000000000001,7.3,32.0,39.3,17.5,8.8,7.3,12.8,24.3,99.8,False
UTA,4,240.0,38.5,80.0,0.48100000000000004,8.3,20.3,0.40700000000000003,30.3,59.8,0.506,17.0,22.5,0.7559999999999999,7.8,34.0,41.8,21.5,7.3,5.5,11.8,19.8,102.3,False
