Team,G,MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS,OPP_Made_Playoffs
LAL,6,240.0,37.5,81.8,0.45799999999999996,11.7,32.5,0.359,25.8,49.3,0.524,17.3,20.7,0.8390000000000001,8.0,33.8,41.8,24.3,7.2,5.0,12.5,21.0,104.0,False
NYK,5,240.0,37.6,84.8,0.44299999999999995,12.8,35.6,0.36,24.8,49.2,0.504,16.0,19.2,0.833,8.0,36.2,44.2,20.6,4.8,6.8,10.8,19.0,104.0,False
PHO,22,240.0,38.1,86.6,0.44,11.5,34.5,0.33299999999999996,26.6,52.1,0.511,16.8,22.5,0.747,10.9,32.7,43.6,20.9,6.6,3.6,11.8,18.5,104.5,False
MIL,23,242.2,39.6,87.2,0.45399999999999996,12.0,34.2,0.35200000000000004,27.6,53.0,0.52,13.9,17.2,0.8079999999999999,8.1,33.3,41.4,20.9,7.3,3.8,13.2,20.1,105.2,False
BRK,12,242.1,39.0,88.9,0.439,11.3,34.9,0.322,27.8,54.0,0.514,16.9,22.5,0.752,11.4,33.7,45.1,19.3,6.5,6.2,12.9,18.6,106.2,False
LAC,19,240.0,39.3,85.3,0.461,14.1,36.1,0.391,25.2,49.3,0.512,14.8,19.4,0.764,9.7,32.1,41.8,20.5,5.3,2.7,11.7,21.3,107.5,False
ATL,18,240.0,39.8,87.1,0.45799999999999996,10.9,31.2,0.35100000000000003,28.9,55.9,0.517,17.2,23.8,0.722,11.1,34.6,45.7,22.9,7.7,4.3,12.8,20.3,107.8,False
PHI,12,240.0,39.5,87.8,0.45,9.2,28.8,0.319,30.3,59.0,0.514,20.6,26.8,0.769,9.6,33.2,42.8,20.8,6.0,3.8,12.5,23.8,108.8,False
DAL,7,240.0,39.0,80.0,0.488,13.4,36.0,0.373,25.6,44.0,0.581,19.7,23.4,0.841,8.9,33.1,42.0,22.6,6.9,5.0,11.0,20.6,111.1,False
UTA,11,240.0,42.9,88.5,0.485,13.5,34.7,0.39,29.4,53.7,0.547,18.4,22.3,0.8240000000000001,10.0,30.2,40.2,21.4,7.9,4.3,10.5,21.1,117.7,False
MIA,4,246.3,44.3,94.5,0.46799999999999997,13.3,40.5,0.327,31.0,54.0,0.574,16.8,22.3,0.753,15.3,43.8,59.0,26.8,7.5,3.0,15.0,20.0,118.5,False
DEN,10,245.0,43.0,87.5,0.491,14.8,35.5,0.41700000000000004,28.2,52.0,0.542,19.5,22.4,0.871,8.2,35.0,43.2,23.8,5.8,4.9,11.5,20.3,120.3,False
POR,6,248.3,43.0,91.2,0.47200000000000003,15.2,37.3,0.406,27.8,53.8,0.517,19.7,24.3,0.8079999999999999,11.7,32.7,44.3,26.0,6.2,4.5,11.2,20.2,120.8,False
BOS,5,240.0,42.0,84.6,0.496,14.4,33.8,0.426,27.6,50.8,0.5429999999999999,25.0,27.4,0.912,10.4,31.2,41.6,24.0,7.2,6.6,11.4,23.4,123.4,False
MEM,5,240.0,42.2,86.4,0.488,16.8,41.4,0.406,25.4,45.0,0.564,22.2,26.2,0.847,9.8,35.8,45.6,23.0,5.2,6.2,13.6,19.2,123.4,False
WAS,5,240.0,45.8,89.6,0.511,11.4,30.2,0.377,34.4,59.4,0.579,21.0,29.8,0.705,9.6,35.2,44.8,26.6,8.6,7.2,11.8,23.8,124.0,False
