Tm,G,MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS,OPP_Made_Playoffs
WAS,11,242.3,32.9,76.5,0.43,6.3,17.0,0.369,26.6,59.5,0.447,17.4,23.5,0.737,8.5,30.3,38.7,19.2,6.2,4.3,12.6,21.2,89.5,False
IND,19,240.0,33.5,76.9,0.435,8.8,25.1,0.353,24.6,51.8,0.475,16.8,21.7,0.774,9.3,30.6,39.9,18.5,6.8,4.3,13.6,21.6,92.6,False
ATL,7,240.0,34.4,76.6,0.45,7.7,21.3,0.36200000000000004,26.7,55.3,0.483,16.9,22.7,0.742,9.4,35.6,45.0,20.4,8.0,6.3,14.9,22.6,93.4,False
CHI,5,245.0,35.2,80.0,0.44,6.2,16.2,0.38299999999999995,29.0,63.8,0.455,18.0,25.6,0.703,11.4,31.6,43.0,20.4,8.2,6.6,10.4,22.2,94.6,False
MIA,20,240.0,35.2,73.5,0.478,9.0,22.3,0.40399999999999997,26.2,51.2,0.511,16.2,22.4,0.725,9.2,28.8,38.0,20.1,5.8,2.8,13.8,19.6,95.5,False
BRK,12,240.0,33.6,72.4,0.46399999999999997,7.5,22.6,0.332,26.1,49.8,0.523,22.2,26.7,0.831,8.3,29.9,38.3,17.3,6.2,4.0,12.9,22.6,96.8,False
SAS,23,241.1,36.6,82.2,0.445,7.7,22.0,0.35,28.9,60.2,0.48,16.2,21.1,0.769,9.6,30.6,40.2,17.7,6.6,3.7,14.2,21.6,97.0,False
TOR,7,240.0,34.6,75.0,0.461,6.7,22.1,0.303,27.9,52.9,0.527,21.9,29.4,0.743,9.4,27.7,37.1,18.3,8.4,3.6,11.7,24.1,97.7,False
CHO,4,240.0,36.3,76.0,0.47700000000000004,9.5,22.0,0.43200000000000005,26.8,54.0,0.495,19.8,26.0,0.76,5.3,31.5,36.8,21.0,7.3,4.5,10.5,19.8,101.8,False
MEM,7,254.3,36.1,83.1,0.435,8.0,24.7,0.324,28.1,58.4,0.48200000000000004,21.9,25.9,0.845,13.4,34.7,48.1,18.6,6.0,7.6,15.6,23.0,102.1,False
DAL,7,240.0,38.6,77.6,0.49700000000000005,7.0,18.3,0.38299999999999995,31.6,59.3,0.5329999999999999,19.0,25.4,0.747,8.9,32.7,41.6,19.9,7.1,3.6,13.7,19.6,103.1,False
OKC,19,246.6,38.7,87.6,0.442,7.6,21.7,0.35,31.1,65.9,0.47200000000000003,18.6,24.7,0.7509999999999999,11.8,30.1,41.9,22.8,8.5,3.1,11.5,22.2,103.5,False
LAC,13,240.0,38.0,81.3,0.467,8.7,24.5,0.355,29.3,56.8,0.516,22.1,28.5,0.774,11.9,32.1,44.0,22.5,6.4,4.8,16.4,24.1,106.8,False
POR,11,246.8,41.9,90.3,0.46399999999999997,7.9,22.7,0.348,34.0,67.5,0.503,18.8,25.3,0.745,13.5,33.3,46.8,19.8,7.8,4.3,11.8,23.3,110.5,False
GSW,7,240.0,38.7,82.3,0.47,9.6,26.3,0.364,29.1,56.0,0.52,23.9,32.0,0.746,11.4,29.6,41.0,23.7,10.1,5.1,14.3,23.0,110.9,False
HOU,6,252.5,39.8,87.8,0.45399999999999996,9.3,25.7,0.364,30.5,62.2,0.491,22.7,28.2,0.805,12.2,30.5,42.7,18.5,7.3,9.2,11.8,24.8,111.7,False
