Tm,G,MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS,OPP_Made_Playoffs
DET,17,242.9,32.9,76.0,0.433,3.9,12.0,0.328,29.0,64.0,0.453,19.2,24.9,0.773,11.8,31.4,43.2,17.6,6.5,3.8,15.1,27.2,89.1,False
SAS,24,241.0,33.0,81.6,0.404,5.8,17.5,0.331,27.2,64.1,0.424,17.6,22.6,0.777,12.1,30.2,42.3,16.7,7.3,5.7,14.9,25.7,89.3,False
BRK,20,243.8,32.7,76.5,0.427,5.6,16.1,0.348,27.1,60.4,0.449,19.3,26.2,0.737,9.6,30.3,39.8,19.2,7.9,6.4,15.3,24.0,90.3,False
PHO,6,244.2,31.0,76.8,0.403,5.3,17.7,0.302,25.7,59.2,0.434,23.2,33.2,0.698,14.3,34.7,49.0,22.3,7.5,6.8,18.5,21.0,90.5,False
PHI,12,244.2,31.8,75.2,0.424,7.4,20.2,0.368,24.4,55.0,0.444,20.2,26.9,0.749,11.4,26.6,38.0,18.8,7.8,5.4,13.9,24.8,91.3,False
NOP,6,240.0,33.5,75.7,0.443,4.3,12.3,0.351,29.2,63.3,0.461,23.2,28.3,0.818,12.3,26.8,39.2,19.7,7.8,2.3,14.3,22.8,94.5,False
ORL,7,240.0,32.0,75.7,0.423,6.0,19.1,0.313,26.0,56.6,0.46,24.9,33.6,0.74,12.6,30.0,42.6,18.6,8.4,5.4,13.6,24.0,94.9,False
BOS,10,247.5,32.4,78.8,0.411,5.9,16.7,0.353,26.5,62.1,0.427,24.5,31.8,0.77,11.8,33.5,45.3,22.1,7.9,4.3,15.1,23.5,95.2,False
IND,6,244.2,33.8,78.5,0.431,9.5,24.8,0.383,24.3,53.7,0.453,19.7,24.5,0.803,8.8,31.7,40.5,20.2,7.7,4.0,12.5,25.3,96.8,False
LAL,12,242.1,37.3,79.9,0.467,5.3,13.2,0.399,32.1,66.8,0.481,20.1,26.3,0.763,9.7,31.9,41.6,21.0,7.3,3.8,13.8,23.5,100.0,False
POR,7,240.0,36.9,80.7,0.457,8.1,20.0,0.407,28.7,60.7,0.473,18.4,21.7,0.849,11.1,26.3,37.4,20.3,6.3,4.3,11.3,23.7,100.3,False
MIL,6,244.2,36.5,79.0,0.462,5.0,14.3,0.349,31.5,64.7,0.487,24.2,31.3,0.771,14.3,31.3,45.7,24.3,5.2,3.2,16.0,26.5,102.2,False
UTA,5,240.0,38.0,79.4,0.479,6.0,14.2,0.423,32.0,65.2,0.491,21.6,28.2,0.766,13.4,25.6,39.0,21.2,8.8,5.8,13.6,24.2,103.6,False
DAL,20,242.5,37.3,82.2,0.454,6.6,19.0,0.348,30.7,63.2,0.486,23.5,31.2,0.753,13.0,33.4,46.4,23.1,6.9,4.5,13.7,22.1,104.7,False
SAC,12,244.2,39.8,87.5,0.455,7.0,18.4,0.38,32.8,69.1,0.475,18.9,24.6,0.769,13.1,30.9,44.0,21.9,6.2,5.6,14.3,24.3,105.6,False
MIN,6,244.2,40.0,88.5,0.452,8.2,22.2,0.368,31.8,66.3,0.48,18.7,27.0,0.691,13.7,30.3,44.0,26.0,8.5,5.7,12.0,24.0,106.8,False
