Tm,G,MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS,OPP_Made_Playoffs
CLE,20,242.5,31.7,74.6,0.425,5.9,17.7,0.331,25.9,57.0,0.45399999999999996,17.4,24.0,0.727,9.6,29.7,39.3,19.2,6.1,3.8,13.7,21.0,86.7,False
BRK,12,240.0,31.8,74.7,0.425,5.7,16.3,0.34700000000000003,26.1,58.3,0.447,19.2,25.6,0.7490000000000001,9.7,30.8,40.4,16.8,7.8,4.0,14.1,21.4,88.3,False
DET,16,243.1,31.8,73.8,0.431,4.6,13.6,0.341,27.1,60.2,0.451,20.3,30.0,0.677,11.8,29.3,41.1,17.9,6.7,3.7,14.6,22.3,88.4,False
HOU,7,240.0,35.6,80.1,0.444,3.7,12.4,0.299,31.9,67.7,0.47,15.6,20.9,0.747,10.6,30.7,41.3,22.9,7.0,4.9,12.0,22.9,90.4,False
CHI,10,240.0,33.8,77.7,0.435,6.2,18.8,0.33,27.6,58.9,0.469,17.5,25.0,0.7,11.2,29.1,40.3,19.7,6.8,4.4,14.2,25.5,91.3,False
SAS,20,240.0,34.5,78.5,0.439,5.0,14.3,0.34700000000000003,29.5,64.2,0.46,17.9,23.7,0.753,11.5,29.2,40.7,18.5,6.5,4.6,14.3,20.8,91.7,False
DEN,5,240.0,36.8,83.0,0.44299999999999995,8.2,21.0,0.39,28.6,62.0,0.461,12.4,16.2,0.765,12.0,28.2,40.2,23.0,7.0,5.2,12.2,17.8,94.2,False
TOR,6,240.0,34.7,75.3,0.46,9.2,23.7,0.387,25.5,51.7,0.494,17.7,22.5,0.785,9.5,31.2,40.7,24.7,6.8,3.5,15.8,21.3,96.2,False
ORL,4,240.0,33.0,73.5,0.449,6.8,15.3,0.44299999999999995,26.3,58.3,0.451,24.3,31.3,0.7759999999999999,11.8,28.5,40.3,20.8,7.3,4.3,10.5,23.0,97.0,False
UTA,17,241.5,33.1,75.1,0.441,8.6,24.5,0.353,24.5,50.6,0.483,22.1,29.4,0.752,9.8,28.4,38.1,18.6,8.7,5.5,14.9,23.2,97.0,False
PHO,11,240.0,37.3,82.8,0.45,6.9,20.1,0.344,30.4,62.7,0.484,17.6,24.1,0.732,12.4,30.1,42.5,16.6,7.0,5.3,14.9,22.5,99.1,False
MIA,4,240.0,36.3,78.8,0.46,7.0,17.5,0.4,29.3,61.3,0.478,20.3,25.0,0.81,9.8,32.8,42.5,23.3,7.8,4.3,14.5,23.5,99.8,False
WAS,4,240.0,35.5,76.8,0.46299999999999997,4.3,13.8,0.309,31.3,63.0,0.496,25.0,30.3,0.826,12.5,36.5,49.0,19.8,5.3,3.5,13.3,19.0,100.3,False
GSW,11,242.3,36.7,81.2,0.452,6.5,19.2,0.341,30.2,62.0,0.48700000000000004,24.9,32.2,0.774,15.2,33.5,48.6,20.9,7.5,4.9,19.4,25.1,104.9,False
DAL,6,240.0,36.7,79.0,0.46399999999999997,10.3,28.2,0.36700000000000005,26.3,50.8,0.518,21.5,29.3,0.733,11.8,29.8,41.7,17.3,8.2,4.3,15.2,24.8,105.2,False
LAL,5,240.0,40.6,84.6,0.48,8.2,23.4,0.35,32.4,61.2,0.529,19.0,25.0,0.76,9.8,31.0,40.8,27.0,7.6,4.0,12.4,18.6,108.4,False
