Tm,G,MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS,OPP_Made_Playoffs
IND,4,240.0,35.5,80.0,0.444,11.8,29.5,0.398,23.8,50.5,0.47,16.5,21.8,0.759,7.5,40.3,47.8,20.3,5.5,3.0,16.0,19.5,99.3,False
TOR,24,242.1,35.3,83.2,0.424,11.1,33.8,0.329,24.2,49.4,0.489,19.4,25.0,0.775,9.8,35.5,45.3,23.6,6.5,5.0,15.4,21.8,101.1,False
BOS,9,240.0,36.9,87.7,0.421,12.3,36.2,0.34,24.6,51.4,0.477,17.4,24.4,0.714,8.7,37.4,46.1,22.1,7.2,4.3,12.0,21.0,103.6,False
MIL,15,243.3,36.5,90.0,0.406,12.3,36.1,0.341,24.2,53.9,0.449,18.6,23.2,0.802,8.5,36.7,45.2,22.6,6.9,4.8,12.1,23.3,104.0,False
SAS,7,240.0,40.0,87.0,0.46,9.7,27.0,0.36,30.3,60.0,0.505,15.4,20.9,0.74,10.4,33.6,44.0,26.0,4.6,3.6,9.1,20.0,105.1,False
HOU,11,242.3,38.0,86.6,0.439,10.5,34.4,0.307,27.5,52.3,0.525,18.8,24.7,0.761,11.1,32.0,43.1,24.3,8.2,4.6,14.5,21.5,105.4,False
PHI,12,240.0,37.1,86.5,0.429,10.3,33.2,0.309,26.8,53.3,0.503,21.3,26.3,0.81,9.6,30.6,40.2,19.4,7.8,3.4,12.6,22.1,105.7,False
ORL,5,240.0,40.4,84.4,0.479,12.0,32.6,0.368,28.4,51.8,0.548,13.6,16.0,0.85,7.0,37.6,44.6,26.2,8.4,4.2,12.2,23.0,106.4,False
UTA,5,240.0,36.6,84.2,0.435,15.4,42.2,0.365,21.2,42.0,0.505,18.4,24.4,0.754,8.6,35.6,44.2,18.4,9.2,7.0,15.2,21.4,107.0,False
DEN,14,247.1,39.9,89.0,0.449,8.6,25.9,0.331,31.4,63.1,0.497,18.9,24.9,0.759,11.6,34.8,46.4,20.0,5.3,4.8,9.6,21.9,107.3,False
GSW,22,242.3,38.4,86.1,0.446,13.1,36.3,0.361,25.3,49.8,0.507,21.0,25.9,0.81,10.1,30.8,41.0,22.5,7.8,3.9,14.7,22.3,110.8,False
OKC,5,240.0,39.8,89.0,0.447,12.8,31.6,0.405,27.0,57.4,0.47,18.6,23.6,0.788,10.6,34.8,45.4,17.4,8.0,5.8,14.4,23.4,111.0,False
POR,16,247.8,39.9,89.6,0.446,10.3,30.3,0.339,29.7,59.4,0.5,20.9,26.3,0.796,12.9,35.4,48.3,24.0,7.3,5.9,12.9,22.8,111.1,False
DET,4,240.0,44.0,86.3,0.51,12.5,33.8,0.37,31.5,52.5,0.6,21.3,28.0,0.759,9.8,43.5,53.3,28.5,5.8,8.8,14.5,20.0,121.8,False
BRK,5,240.0,46.0,93.2,0.494,9.0,26.8,0.336,37.0,66.4,0.557,21.4,27.8,0.77,13.8,39.0,52.8,27.0,7.8,6.0,16.2,24.2,122.4,False
LAC,6,240.0,44.7,89.0,0.502,12.8,32.2,0.399,31.8,56.8,0.56,22.3,25.8,0.865,10.3,35.7,46.0,31.2,7.0,7.5,14.3,25.8,124.5,False
