Team,G,MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS,OPP_Made_Playoffs
MIA,10,242.5,28.8,71.3,0.40399999999999997,3.9,11.4,0.342,24.9,59.9,0.41600000000000004,19.2,25.1,0.765,7.8,30.3,38.1,13.9,6.7,3.3,12.8,23.3,80.7,False
SAS,4,240.0,33.3,83.8,0.397,4.0,14.8,0.271,29.3,69.0,0.424,12.5,18.0,0.6940000000000001,14.0,34.0,48.0,20.8,9.3,9.8,15.5,25.3,83.0,False
NYK,16,241.6,30.4,75.4,0.40399999999999997,5.8,17.4,0.331,24.7,58.0,0.426,18.9,24.8,0.763,11.1,31.6,42.6,18.7,6.3,4.3,12.4,23.0,85.5,False
MIN,4,240.0,31.3,71.8,0.436,5.8,15.5,0.371,25.5,56.3,0.45299999999999996,19.0,22.8,0.835,8.8,26.5,35.3,19.5,5.3,3.8,12.8,21.0,87.3,False
TOR,3,240.0,30.3,67.0,0.45299999999999996,5.3,11.3,0.47100000000000003,25.0,55.7,0.449,21.7,29.0,0.747,7.7,29.3,37.0,12.0,8.0,5.0,16.0,24.0,87.7,False
POR,16,240.0,32.4,72.9,0.445,4.8,14.4,0.335,27.6,58.6,0.47200000000000003,18.1,26.7,0.677,9.5,27.9,37.4,22.6,5.6,5.4,13.1,26.6,87.8,False
DET,3,240.0,34.3,71.7,0.479,4.7,11.3,0.41200000000000003,29.7,60.3,0.49200000000000005,16.7,24.3,0.685,8.3,33.0,41.3,21.3,9.3,7.3,17.0,29.7,90.0,False
PHO,9,240.0,31.9,77.3,0.41200000000000003,3.7,12.3,0.297,28.2,65.0,0.434,23.6,34.3,0.6859999999999999,14.0,31.9,45.9,17.2,8.3,6.9,14.2,21.8,91.0,False
UTA,10,240.0,33.6,75.8,0.44299999999999995,6.0,15.1,0.397,27.6,60.7,0.455,20.0,27.3,0.733,11.6,28.7,40.3,20.3,8.4,3.8,14.2,23.3,93.2,False
CHO,4,246.3,34.3,80.0,0.428,6.0,15.0,0.4,28.3,65.0,0.435,19.5,25.3,0.772,13.0,27.5,40.5,21.3,7.0,6.0,12.8,24.3,94.0,False
MIL,5,240.0,34.0,81.6,0.41700000000000004,4.8,16.2,0.29600000000000004,29.2,65.4,0.446,21.4,27.4,0.7809999999999999,13.2,28.6,41.8,18.4,4.2,3.4,11.6,21.8,94.2,False
OKC,5,240.0,36.0,76.8,0.469,6.0,13.0,0.462,30.0,63.8,0.47,16.4,21.0,0.7809999999999999,11.2,30.8,42.0,25.2,8.2,5.8,15.8,22.2,94.4,False
IND,23,241.1,36.7,80.7,0.45399999999999996,4.3,12.3,0.34600000000000003,32.4,68.4,0.474,17.8,25.8,0.6890000000000001,11.3,30.0,41.3,19.7,6.2,4.4,11.6,23.9,95.4,False
PHI,10,242.5,34.7,77.3,0.449,6.3,18.0,0.35,28.4,59.3,0.479,19.8,24.0,0.825,11.0,29.8,40.8,23.1,7.4,6.1,13.3,23.9,95.5,False
LAL,23,241.1,34.2,78.4,0.436,6.4,17.3,0.369,27.8,61.1,0.45399999999999996,22.7,29.0,0.7829999999999999,10.7,30.0,40.7,19.0,6.8,3.7,12.6,26.6,97.4,False
SAC,5,240.0,41.6,89.2,0.466,3.8,12.6,0.302,37.8,76.6,0.493,17.4,27.2,0.64,18.0,33.0,51.0,21.8,6.6,6.4,11.2,23.4,104.4,False
