Tm,G,MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS,OPP_Made_Playoffs
DET,25,242.0,32.0,73.9,0.433,5.4,16.5,0.324,26.7,57.4,0.465,16.2,22.8,0.708,10.1,29.2,39.2,17.2,6.0,5.5,14.3,21.7,85.6,False
IND,13,241.9,32.4,74.9,0.432,4.5,14.6,0.311,27.8,60.3,0.462,17.6,23.4,0.753,11.5,30.4,41.9,18.3,7.8,6.6,14.4,22.7,86.9,False
BOS,7,243.6,28.0,70.9,0.395,6.9,17.9,0.384,21.1,53.0,0.399,25.4,32.0,0.795,10.4,29.0,39.4,18.9,9.0,6.6,15.7,21.7,88.3,False
SAS,23,242.2,35.8,79.9,0.449,3.5,11.7,0.3,32.3,68.1,0.474,17.4,22.9,0.76,11.9,27.3,39.3,16.4,7.3,5.9,12.3,24.0,92.6,False
MIA,15,243.3,34.0,82.3,0.413,5.9,17.6,0.333,28.1,64.7,0.435,19.9,27.9,0.713,12.3,28.4,40.7,19.3,7.3,3.4,11.9,25.4,93.7,False
PHI,5,245.0,36.2,77.0,0.47,6.4,18.0,0.356,29.8,59.0,0.505,20.0,24.6,0.813,11.0,32.0,43.0,22.6,6.6,6.4,16.4,19.6,98.8,False
HOU,7,240.0,34.3,76.4,0.449,7.6,17.4,0.434,26.7,59.0,0.453,24.1,30.1,0.801,13.4,27.9,41.3,17.1,7.0,4.9,13.3,22.9,100.3,False
OKC,11,240.0,36.0,78.8,0.457,5.7,18.1,0.317,30.3,60.7,0.499,22.5,29.5,0.763,12.3,25.3,37.5,19.0,5.5,5.1,13.2,24.9,100.3,False
DEN,5,245.0,34.4,77.8,0.442,7.0,18.4,0.38,27.4,59.4,0.461,24.6,32.6,0.755,10.6,34.0,44.6,19.8,5.0,7.0,14.2,24.8,100.4,False
WAS,10,240.0,36.6,81.0,0.452,8.6,22.1,0.389,28.0,58.9,0.475,21.1,30.0,0.703,12.5,31.7,44.2,21.4,6.3,5.4,16.1,28.0,102.9,False
CHI,6,240.0,36.3,82.5,0.44,5.2,17.7,0.292,31.2,64.8,0.481,26.5,36.0,0.736,12.8,33.0,45.8,19.2,8.0,6.5,14.2,26.3,104.3,False
SAC,5,240.0,36.8,78.8,0.467,6.4,19.0,0.337,30.4,59.8,0.508,26.6,32.0,0.831,13.0,29.8,42.8,20.0,5.8,4.8,13.8,23.0,106.6,False
DAL,13,241.9,39.0,82.1,0.475,8.2,19.5,0.419,30.8,62.6,0.493,20.6,26.6,0.775,12.4,29.8,42.2,19.2,7.1,5.9,14.0,23.7,106.8,False
PHO,15,241.7,41.8,89.4,0.468,7.2,19.4,0.371,34.6,70.0,0.494,17.0,23.2,0.733,14.3,29.3,43.6,19.5,7.3,4.9,12.3,21.7,107.8,False
BRK,4,252.5,38.8,75.3,0.515,8.3,17.0,0.485,30.5,58.3,0.524,23.8,36.3,0.655,8.8,36.0,44.8,21.5,6.0,3.5,15.8,26.3,109.5,False
MEM,4,240.0,39.8,79.0,0.503,10.5,23.0,0.457,29.3,56.0,0.522,23.8,32.0,0.742,10.5,32.5,43.0,23.8,4.8,7.8,11.0,17.5,113.8,False
