Team,G,MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS,OPP_Made_Playoffs
DET,10,240.0,31.8,76.3,0.41700000000000004,4.4,14.5,0.303,27.4,61.8,0.44299999999999995,15.4,19.7,0.782,10.9,32.4,43.3,18.4,8.2,4.4,15.6,21.7,83.4,False
TOR,5,240.0,29.8,71.2,0.419,7.0,18.8,0.37200000000000005,22.8,52.4,0.435,20.0,26.0,0.769,10.4,26.2,36.6,18.2,8.0,5.2,15.0,21.2,86.6,False
SAS,10,240.0,34.6,79.6,0.435,5.0,13.8,0.36200000000000004,29.6,65.8,0.45,13.9,20.4,0.6809999999999999,11.4,30.7,42.1,17.0,4.8,5.0,11.4,23.6,88.1,False
BOS,16,240.0,31.6,76.8,0.41100000000000003,5.9,18.9,0.311,25.7,57.9,0.444,19.4,26.9,0.723,10.8,31.7,42.5,20.5,7.5,4.9,14.8,21.3,88.4,False
UTA,4,240.0,29.5,73.8,0.4,5.3,17.8,0.29600000000000004,24.3,56.0,0.433,24.8,30.0,0.825,12.5,30.0,42.5,15.0,7.8,5.0,17.3,24.0,89.0,False
IND,5,250.0,35.6,83.0,0.429,3.2,12.0,0.267,32.4,71.0,0.456,17.0,23.6,0.72,10.8,30.6,41.4,18.2,8.2,6.4,14.8,22.4,91.4,False
LAL,19,241.3,35.2,82.5,0.426,4.7,15.1,0.31,30.5,67.4,0.452,19.1,26.7,0.7140000000000001,12.3,29.9,42.2,20.1,7.7,4.4,13.0,24.5,94.1,False
BRK,20,242.5,34.0,78.1,0.435,5.9,17.1,0.34299999999999997,28.1,61.0,0.461,21.7,29.9,0.7240000000000001,11.6,32.5,44.1,20.4,8.7,6.3,15.5,24.9,95.4,False
CHO,9,245.6,34.3,80.2,0.428,4.1,14.8,0.278,30.2,65.4,0.462,23.3,31.0,0.753,11.4,29.6,41.0,21.3,6.4,5.2,13.3,25.8,96.1,False
OKC,5,240.0,35.2,76.0,0.46299999999999997,6.0,14.8,0.405,29.2,61.2,0.47700000000000004,20.0,26.8,0.746,10.8,31.4,42.2,17.6,5.8,7.8,9.8,19.4,96.4,False
POR,3,240.0,32.7,74.3,0.439,7.0,19.7,0.35600000000000004,25.7,54.7,0.47,24.3,33.0,0.737,9.3,32.7,42.0,20.0,9.3,6.3,13.3,24.3,96.7,False
PHI,5,240.0,36.0,77.2,0.466,11.6,25.0,0.46399999999999997,24.4,52.2,0.467,14.2,17.2,0.826,8.8,29.6,38.4,21.6,8.6,4.6,13.6,23.2,97.8,False
ORL,4,252.5,34.5,82.3,0.419,4.3,9.8,0.436,30.3,72.5,0.41700000000000004,25.5,33.5,0.7609999999999999,15.8,34.3,50.0,20.0,8.3,6.0,14.3,25.8,98.8,False
SAC,16,243.1,37.0,86.6,0.42700000000000005,5.6,18.7,0.301,31.4,67.9,0.462,19.2,25.9,0.742,14.3,31.1,45.3,20.6,6.9,5.4,14.6,25.5,98.8,False
DAL,8,243.1,39.4,85.4,0.461,5.4,15.6,0.344,34.0,69.8,0.48700000000000004,24.6,32.4,0.7609999999999999,14.9,34.1,49.0,20.8,6.8,4.1,14.8,24.1,108.8,False
MIN,3,240.0,39.3,85.3,0.461,10.3,23.0,0.449,29.0,62.3,0.465,23.7,27.0,0.877,8.3,33.0,41.3,19.3,7.0,5.3,10.7,27.0,112.7,False
