Tm,G,MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS,OPP_Made_Playoffs
BOS,17,244.4,36.4,86.0,0.423,11.4,36.6,0.311,25.0,49.4,0.507,20.1,25.1,0.8029999999999999,8.8,32.9,41.8,22.2,6.5,4.8,12.6,22.0,104.4,False
TOR,11,244.5,36.8,85.9,0.429,13.5,40.3,0.336,23.3,45.6,0.51,18.1,23.6,0.765,7.9,38.2,46.1,23.5,6.2,5.0,15.3,20.3,105.3,False
LAL,21,240.0,36.9,81.4,0.45299999999999996,11.8,32.5,0.363,25.0,48.9,0.513,20.4,25.3,0.8059999999999999,7.4,29.9,37.3,21.8,7.0,3.1,14.5,22.4,106.0,False
HOU,12,242.1,38.7,83.7,0.462,12.1,34.8,0.34700000000000003,26.6,48.8,0.544,17.5,22.8,0.769,9.1,38.9,48.0,21.1,6.3,4.9,17.1,18.6,106.9,False
MIA,21,242.4,38.7,84.8,0.456,12.4,35.8,0.34700000000000003,26.2,49.0,0.535,18.2,23.1,0.7879999999999999,9.9,32.9,42.7,23.8,7.3,4.5,14.1,22.6,108.0,False
DEN,19,241.3,39.2,82.2,0.47700000000000004,12.2,32.7,0.373,26.9,49.4,0.545,19.2,24.6,0.779,9.5,31.0,40.5,22.5,7.5,4.0,13.6,22.1,109.7,False
LAC,13,241.9,39.8,84.8,0.469,12.5,34.7,0.359,27.3,50.2,0.544,17.8,23.6,0.752,8.3,34.5,42.8,22.0,6.9,4.1,13.7,22.3,109.8,False
MIL,10,242.5,37.2,84.9,0.43799999999999994,15.0,40.0,0.375,22.2,44.9,0.494,20.5,24.2,0.847,7.2,36.5,43.7,24.3,7.1,3.6,14.9,21.2,109.9,False
UTA,7,243.6,40.1,86.1,0.466,15.1,36.0,0.42100000000000004,25.0,50.1,0.499,14.6,17.1,0.85,10.6,31.4,42.0,22.1,4.9,4.6,12.0,21.3,110.0,False
OKC,7,243.6,39.4,90.7,0.435,18.3,51.0,0.359,21.1,39.7,0.532,13.3,16.4,0.809,7.4,35.9,43.3,21.4,9.3,3.9,12.7,23.0,110.4,False
IND,4,240.0,37.5,80.8,0.46399999999999997,13.0,33.3,0.391,24.5,47.5,0.516,23.3,29.8,0.782,9.3,36.3,45.5,24.0,8.8,4.3,14.3,15.8,111.3,False
PHI,4,240.0,39.0,86.3,0.452,12.3,35.0,0.35,26.8,51.3,0.522,22.0,27.0,0.815,9.8,33.5,43.3,19.0,6.8,5.5,10.5,24.3,112.3,False
ORL,5,240.0,42.4,88.0,0.48200000000000004,15.8,41.2,0.38299999999999995,26.6,46.8,0.568,15.6,21.8,0.716,8.0,42.4,50.4,27.4,7.0,3.8,16.6,20.6,116.2,False
POR,5,240.0,42.8,88.4,0.484,12.0,35.0,0.34299999999999997,30.8,53.4,0.5770000000000001,19.6,28.0,0.7,12.4,36.0,48.4,26.0,8.8,5.8,15.0,22.8,117.2,False
BRK,4,240.0,45.0,91.0,0.495,17.8,41.0,0.433,27.3,50.0,0.545,18.5,23.5,0.787,9.3,41.8,51.0,30.5,7.0,5.5,12.0,22.5,126.3,False
DAL,6,244.2,45.2,90.2,0.501,14.0,34.7,0.40399999999999997,31.2,55.5,0.562,22.3,27.5,0.812,8.7,37.7,46.3,21.2,7.2,3.3,12.0,24.5,126.7,False
