Tm,G,MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS,OPP_Made_Playoffs
MIN,4,240.0,31.8,74.0,0.429,6.0,14.5,0.414,25.8,59.5,0.433,19.0,26.3,0.7240000000000001,10.0,33.0,43.0,19.0,5.3,4.5,14.0,20.5,88.5,False
CHO,10,240.0,33.3,77.7,0.429,6.4,17.4,0.368,26.9,60.3,0.446,16.4,21.4,0.7659999999999999,10.6,30.3,40.9,21.8,5.7,6.9,15.0,24.9,89.4,False
LAL,16,241.6,33.2,81.3,0.408,4.0,14.8,0.271,29.2,66.5,0.439,20.3,26.4,0.7659999999999999,11.8,29.0,40.8,16.6,7.5,5.8,14.0,23.7,90.6,False
TOR,12,240.0,33.8,75.2,0.45,4.1,11.4,0.358,29.8,63.8,0.467,19.5,24.9,0.7829999999999999,10.8,28.7,39.4,18.2,7.4,4.8,13.8,21.9,91.3,False
SAS,13,240.0,34.8,84.6,0.41200000000000003,5.2,13.9,0.37,29.7,70.7,0.42,17.1,22.5,0.758,13.6,32.0,45.6,20.3,8.2,5.5,11.8,23.1,91.9,False
NYK,5,240.0,34.6,79.8,0.434,4.6,11.4,0.40399999999999997,30.0,68.4,0.439,18.4,25.2,0.73,12.2,27.0,39.2,19.6,8.2,5.2,14.0,22.0,92.2,False
PHI,23,241.1,34.8,78.8,0.442,6.9,17.3,0.39899999999999997,27.9,61.5,0.45399999999999996,15.9,20.6,0.77,11.9,29.1,41.0,22.3,6.5,6.8,13.5,22.7,92.4,False
IND,4,240.0,34.0,80.3,0.424,3.3,11.0,0.295,30.8,69.3,0.444,22.3,28.3,0.7879999999999999,14.5,32.8,47.3,21.0,7.5,5.8,11.0,21.5,93.5,False
UTA,5,240.0,30.8,74.0,0.41600000000000004,7.6,20.6,0.369,23.2,53.4,0.434,24.6,28.6,0.86,9.8,29.0,38.8,15.0,3.8,5.4,13.0,22.8,93.8,False
MIL,18,241.4,34.6,82.9,0.41700000000000004,5.0,13.8,0.363,29.6,69.2,0.428,20.1,27.6,0.728,14.5,29.4,43.9,20.7,7.7,4.8,11.5,20.8,94.3,False
DAL,10,240.0,35.4,77.5,0.457,5.3,13.6,0.39,30.1,63.9,0.47100000000000003,19.8,27.4,0.723,12.5,33.0,45.5,23.4,5.7,5.3,13.5,24.0,95.9,False
SAC,8,240.0,36.0,84.6,0.425,3.9,14.4,0.27,32.1,70.3,0.457,21.6,30.9,0.7,14.0,32.1,46.1,20.5,9.8,5.6,14.6,23.9,97.5,False
PHO,4,240.0,34.3,85.3,0.402,5.5,14.3,0.386,28.8,71.0,0.405,24.0,30.0,0.8,16.0,35.3,51.3,17.8,7.5,5.3,17.5,21.3,98.0,False
MIA,3,240.0,34.3,74.3,0.462,5.0,11.7,0.429,29.3,62.7,0.46799999999999997,27.0,34.0,0.794,12.0,31.7,43.7,18.3,12.3,4.0,14.0,20.7,100.7,False
POR,3,240.0,39.0,85.7,0.455,5.3,20.0,0.267,33.7,65.7,0.513,20.3,28.7,0.7090000000000001,14.7,34.0,48.7,25.3,10.0,2.0,11.7,22.3,103.7,False
ORL,4,246.3,36.8,87.5,0.42,5.8,16.5,0.348,31.0,71.0,0.43700000000000006,29.3,37.5,0.78,17.5,35.8,53.3,20.8,6.8,5.3,12.0,22.8,108.5,False
