Team,G,MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS,OPP_Made_Playoffs
IND,7,240.0,33.1,76.3,0.434,10.4,32.4,0.322,22.7,43.9,0.518,18.1,23.9,0.76,9.1,29.6,38.7,17.1,6.6,3.6,14.4,20.3,94.9,False
GSW,21,241.2,37.0,87.4,0.423,10.2,32.5,0.313,26.8,54.9,0.488,16.2,21.0,0.7709999999999999,10.3,32.7,43.0,20.4,7.5,3.6,13.6,19.4,100.4,False
BOS,19,242.6,37.5,81.4,0.461,9.2,27.5,0.335,28.3,53.9,0.525,16.4,22.4,0.7340000000000001,8.5,34.5,42.9,21.1,5.9,5.6,13.5,21.4,100.7,False
MIL,7,243.6,37.0,83.6,0.44299999999999995,10.1,29.0,0.35,26.9,54.6,0.49200000000000005,18.3,24.3,0.753,10.7,32.4,43.1,21.6,6.6,4.1,13.0,19.4,102.4,False
CLE,22,242.3,38.3,82.0,0.467,10.2,29.5,0.34700000000000003,28.1,52.5,0.535,16.0,20.6,0.775,8.2,31.9,40.0,22.4,6.5,4.4,11.8,21.9,102.9,False
HOU,17,240.0,38.5,82.6,0.465,10.6,27.9,0.382,27.8,54.8,0.508,15.5,20.7,0.75,8.5,35.1,43.6,21.4,6.8,4.4,14.0,19.5,103.1,False
UTA,11,240.0,37.9,86.6,0.43799999999999994,11.7,32.3,0.363,26.2,54.4,0.48200000000000004,17.0,21.1,0.8059999999999999,8.5,35.7,44.2,18.2,9.4,5.5,12.6,20.9,104.5,False
PHI,10,242.5,37.1,83.2,0.446,11.4,29.9,0.381,25.7,53.3,0.48200000000000004,19.3,26.7,0.723,8.6,32.6,41.2,22.2,8.0,5.9,13.8,25.5,104.9,False
OKC,6,240.0,38.2,84.2,0.45299999999999996,11.3,31.5,0.36,26.8,52.7,0.509,17.8,26.0,0.6859999999999999,11.3,35.5,46.8,20.0,8.7,5.5,15.2,20.7,105.5,False
SAS,5,240.0,39.6,82.8,0.478,9.4,28.0,0.336,30.2,54.8,0.551,17.0,20.4,0.833,10.4,37.0,47.4,26.8,6.0,5.0,13.6,19.8,105.6,False
WAS,6,240.0,39.2,82.8,0.473,11.0,26.8,0.41,28.2,56.0,0.503,19.8,24.8,0.799,8.8,31.7,40.5,22.2,7.5,6.2,14.2,21.3,109.2,False
MIN,5,240.0,39.2,88.0,0.445,15.0,43.4,0.34600000000000003,24.2,44.6,0.5429999999999999,17.0,22.8,0.746,9.0,34.2,43.2,20.8,6.8,6.2,8.4,17.6,110.4,False
NOP,9,240.0,42.3,92.4,0.45799999999999996,10.4,31.9,0.32799999999999996,31.9,60.6,0.527,15.7,19.8,0.792,10.1,36.7,46.8,25.6,9.2,4.9,13.8,19.0,110.8,False
TOR,10,242.5,41.8,86.0,0.486,9.4,24.3,0.387,32.4,61.7,0.525,18.7,22.9,0.8170000000000001,8.1,31.1,39.2,23.7,7.3,4.8,11.3,20.3,111.7,False
MIA,5,240.0,39.2,87.4,0.449,11.4,31.4,0.363,27.8,56.0,0.496,24.4,31.8,0.767,13.2,36.8,50.0,26.6,9.0,4.2,16.0,24.0,114.2,False
POR,4,240.0,43.8,83.8,0.522,10.0,25.0,0.4,33.8,58.8,0.574,17.0,21.8,0.782,7.5,35.8,43.3,26.5,8.3,6.5,14.0,19.5,114.5,False
