Tm,G,MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS,OPP_Made_Playoffs
MIL,6,240.0,32.3,74.0,0.437,8.5,24.2,0.352,23.8,49.8,0.478,20.7,25.7,0.805,7.2,34.7,41.8,18.0,7.5,4.7,14.3,21.2,93.8,False
LAC,7,240.0,36.1,75.7,0.477,9.7,25.0,0.389,26.4,50.7,0.521,16.9,23.3,0.724,6.6,31.0,37.6,20.1,7.4,3.1,12.1,20.9,98.9,False
TOR,10,240.0,36.7,78.7,0.466,11.5,26.1,0.441,25.2,52.6,0.479,17.5,23.2,0.754,7.5,32.5,40.0,22.0,7.6,5.0,13.5,19.9,102.4,False
UTA,11,240.0,37.9,79.5,0.477,8.9,25.5,0.35,29.0,54.0,0.537,17.8,23.5,0.757,7.5,33.5,40.9,21.7,6.6,3.3,11.5,20.4,102.5,False
CHI,6,240.0,38.5,84.0,0.458,12.7,37.3,0.339,25.8,46.7,0.554,13.7,18.0,0.759,9.3,29.7,39.0,27.3,8.2,3.7,12.3,17.2,103.3,False
MEM,6,244.2,37.2,77.2,0.482,9.8,24.0,0.41,27.3,53.2,0.514,20.5,24.8,0.826,9.8,30.2,40.0,16.3,5.2,3.8,11.3,19.2,104.7,False
GSW,17,240.0,38.3,89.2,0.429,10.2,30.0,0.341,28.1,59.2,0.474,18.9,24.7,0.767,11.1,32.1,43.2,20.1,8.4,3.8,14.0,21.6,105.8,False
SAS,16,243.1,38.1,82.4,0.462,12.7,33.3,0.382,25.4,49.2,0.517,17.1,21.1,0.813,8.7,31.1,39.8,22.4,7.9,3.9,13.8,21.3,106.1,False
HOU,11,242.3,40.7,89.5,0.455,8.4,26.5,0.316,32.4,63.0,0.514,16.7,23.9,0.7,13.0,33.8,46.8,22.5,7.9,7.0,12.5,19.5,106.5,False
ATL,6,240.0,39.3,86.7,0.454,8.3,26.5,0.314,31.0,60.2,0.515,19.7,24.2,0.814,9.7,31.7,41.3,21.2,9.2,7.5,13.0,24.8,106.7,False
BOS,18,241.4,39.7,83.8,0.473,9.8,27.7,0.353,29.9,56.2,0.532,19.0,23.8,0.797,11.3,33.2,44.5,22.6,7.4,5.2,14.2,19.0,108.1,False
WAS,13,241.9,38.3,83.5,0.459,11.1,30.3,0.365,27.2,53.2,0.512,20.4,26.5,0.77,9.9,30.8,40.8,25.0,7.0,4.4,14.6,22.5,108.1,False
CLE,18,240.0,40.2,88.0,0.457,11.2,30.9,0.363,29.0,57.1,0.508,16.6,20.7,0.802,10.3,29.9,40.2,25.3,7.4,3.8,13.2,22.3,108.3,False
IND,4,240.0,40.0,82.8,0.483,13.5,33.5,0.403,26.5,49.3,0.538,19.3,26.8,0.72,10.0,29.8,39.8,19.8,7.0,6.3,12.8,18.3,112.8,False
OKC,5,240.0,38.2,83.8,0.456,9.6,33.8,0.284,28.6,50.0,0.572,26.8,33.6,0.798,10.6,34.8,45.4,16.6,7.4,5.0,14.8,22.6,112.8,False
POR,4,240.0,42.3,87.3,0.484,12.5,31.0,0.403,29.8,56.3,0.529,22.5,28.5,0.789,8.0,38.5,46.5,27.3,8.3,10.3,12.5,18.8,119.5,False
