Tm,G,MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS,OPP_Made_Playoffs
NYK,12,242.1,29.7,70.7,0.42,7.1,22.0,0.322,22.6,48.7,0.46399999999999997,19.5,25.4,0.767,8.8,33.3,42.2,16.8,5.1,4.2,16.8,18.9,85.9,False
BOS,6,244.2,33.0,80.2,0.41200000000000003,8.0,24.0,0.33299999999999996,25.0,56.2,0.445,13.7,18.2,0.752,10.5,31.8,42.3,15.0,10.3,4.3,12.8,21.3,87.7,False
MIA,23,242.2,33.0,75.7,0.436,6.7,19.1,0.353,26.3,56.6,0.46399999999999997,18.0,24.5,0.732,11.5,28.8,40.3,17.7,6.9,3.4,16.0,21.0,90.7,False
IND,19,241.3,33.6,78.5,0.428,7.1,19.8,0.355,26.5,58.7,0.452,17.4,23.1,0.754,9.9,26.6,36.5,17.0,7.4,4.7,11.4,24.8,91.6,False
SAS,21,247.1,36.3,83.9,0.43200000000000005,7.2,19.4,0.371,29.1,64.5,0.451,13.6,19.6,0.693,11.7,32.0,43.6,19.8,7.3,4.7,13.6,21.1,93.3,False
MEM,15,245.0,35.1,78.1,0.45,6.7,20.1,0.33399999999999996,28.4,57.9,0.49,17.1,21.5,0.795,8.7,31.5,40.2,19.1,5.1,6.5,14.0,25.3,94.1,False
ATL,6,240.0,32.8,79.2,0.415,6.3,21.0,0.302,26.5,58.2,0.456,22.5,28.7,0.785,12.8,36.5,49.3,19.7,6.8,4.8,15.5,23.8,94.5,False
OKC,11,242.3,33.9,81.6,0.415,8.5,25.5,0.335,25.4,56.1,0.452,20.7,28.0,0.74,10.5,32.8,43.3,17.7,6.7,4.9,13.4,22.1,97.1,False
BRK,7,250.7,39.3,83.7,0.469,4.6,15.0,0.305,34.7,68.7,0.505,14.3,20.6,0.6940000000000001,10.7,31.0,41.7,21.4,6.0,5.7,13.1,21.7,97.4,False
CHI,12,246.3,36.0,78.5,0.45899999999999996,6.6,19.8,0.33299999999999996,29.4,58.8,0.501,20.0,26.3,0.759,9.9,29.7,39.6,21.1,7.0,5.8,12.2,21.2,98.6,False
MIL,4,240.0,37.0,74.5,0.49700000000000005,7.0,21.8,0.322,30.0,52.8,0.569,19.0,25.8,0.738,10.8,32.8,43.5,23.5,9.3,4.3,17.0,20.3,100.0,False
LAC,6,240.0,34.8,76.2,0.457,4.3,13.3,0.325,30.5,62.8,0.485,26.2,34.3,0.762,10.3,27.5,37.8,21.2,6.5,4.2,10.3,23.8,100.2,False
GSW,12,246.3,37.5,85.4,0.439,7.5,22.4,0.335,30.0,63.0,0.47600000000000003,20.0,27.3,0.732,11.5,30.3,41.8,21.8,8.6,3.5,13.2,21.9,102.5,False
LAL,4,240.0,41.3,84.0,0.491,6.0,17.0,0.353,35.3,67.0,0.526,15.5,19.3,0.805,8.8,33.5,42.3,23.8,10.3,5.0,10.0,18.0,104.0,False
HOU,6,240.0,37.2,82.7,0.45,10.2,28.3,0.359,27.0,54.3,0.49700000000000005,21.3,25.2,0.848,9.7,32.8,42.5,20.2,7.8,7.3,12.8,24.7,105.8,False
DEN,6,240.0,40.2,81.3,0.494,9.8,24.3,0.40399999999999997,30.3,57.0,0.532,17.0,21.7,0.785,10.0,33.2,43.2,23.8,6.5,6.7,18.7,23.5,107.2,False
