Team,G,MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS,OPP_Made_Playoffs
ORL,6,240.0,32.5,76.5,0.425,6.2,16.8,0.366,26.3,59.7,0.441,15.7,22.0,0.7120000000000001,9.3,29.2,38.5,18.0,6.2,3.8,13.0,24.2,86.8,False
CHI,16,241.6,32.5,74.8,0.435,4.1,12.6,0.32799999999999996,28.4,62.2,0.456,19.1,24.5,0.7809999999999999,9.5,28.0,37.5,16.4,7.4,6.4,13.8,19.6,88.3,False
MIA,21,242.4,33.1,77.3,0.428,7.3,18.5,0.39299999999999996,25.8,58.8,0.439,16.6,21.8,0.762,10.1,28.8,38.9,18.8,7.0,4.2,13.0,21.5,90.1,False
ATL,12,240.0,33.4,77.3,0.43200000000000005,5.8,20.3,0.287,27.6,57.0,0.484,18.0,23.7,0.7609999999999999,11.8,30.3,42.1,18.3,6.4,5.3,12.4,20.0,90.7,False
DAL,21,241.2,34.2,76.5,0.447,5.3,18.4,0.29,28.9,58.1,0.49700000000000005,18.8,24.4,0.77,11.3,28.8,40.1,18.0,7.2,5.1,13.6,21.6,92.5,False
BOS,9,242.8,32.4,77.3,0.42,7.1,20.6,0.34600000000000003,25.3,56.8,0.446,21.3,28.0,0.762,11.7,28.8,40.4,15.8,7.2,6.4,14.9,19.7,93.3,False
POR,6,240.0,33.5,73.7,0.455,7.7,20.2,0.38,25.8,53.5,0.483,18.7,24.2,0.772,11.3,28.3,39.7,19.0,5.2,3.7,12.0,19.5,93.3,False
PHI,5,240.0,32.6,76.6,0.426,5.6,19.4,0.289,27.0,57.2,0.47200000000000003,23.2,28.8,0.8059999999999999,13.4,33.8,47.2,16.2,5.4,6.2,11.4,14.8,94.0,False
LAL,10,240.0,34.5,73.1,0.47200000000000003,7.6,19.0,0.4,26.9,54.1,0.49700000000000005,17.9,23.5,0.762,7.6,28.3,35.9,22.5,7.0,3.7,13.3,21.6,94.5,False
NOP,6,240.0,34.5,74.5,0.46299999999999997,5.5,15.0,0.36700000000000005,29.0,59.5,0.48700000000000004,22.0,27.5,0.8,12.3,28.5,40.8,19.2,5.8,5.8,12.8,21.2,96.5,False
SAS,6,244.2,37.5,79.0,0.475,3.7,11.0,0.33299999999999996,33.8,68.0,0.498,18.8,26.0,0.7240000000000001,9.5,32.8,42.3,19.3,7.3,4.8,13.7,24.5,97.5,False
IND,5,240.0,33.4,80.4,0.415,7.4,21.0,0.35200000000000004,26.0,59.4,0.43799999999999994,23.4,28.8,0.813,14.8,31.6,46.4,19.8,8.2,7.6,16.2,22.2,97.6,False
MEM,13,249.6,35.2,79.2,0.444,6.1,19.6,0.31,29.1,59.6,0.488,22.9,29.0,0.79,11.8,31.9,43.7,18.2,7.2,6.8,15.3,23.7,99.3,False
NYK,4,240.0,39.0,81.8,0.47700000000000004,7.0,15.0,0.467,32.0,66.8,0.479,14.3,18.8,0.76,11.5,32.8,44.3,24.0,7.8,5.0,16.8,21.0,99.3,False
OKC,17,247.4,34.8,82.2,0.424,5.9,17.6,0.33399999999999996,28.9,64.6,0.44799999999999995,25.1,31.9,0.785,11.3,28.7,40.0,18.4,8.3,5.2,12.4,23.1,100.6,False
DEN,5,240.0,33.6,80.0,0.42,7.6,22.6,0.336,26.0,57.4,0.45299999999999996,27.4,34.4,0.797,12.6,35.6,48.2,16.8,6.0,8.6,13.6,25.0,102.2,False
