Tm,G,MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS,OPP_Made_Playoffs
MIA,7,240.0,31.0,73.4,0.422,6.1,18.0,0.341,24.9,55.4,0.448,19.1,25.6,0.749,11.0,26.3,37.3,16.9,6.9,3.6,12.1,21.3,87.3,False
CLE,14,241.8,32.4,74.9,0.433,7.0,19.1,0.366,25.4,55.7,0.456,17.2,22.9,0.753,8.4,26.4,34.7,17.9,6.2,3.3,12.1,22.6,89.1,False
ATL,11,240.0,32.6,70.5,0.463,7.3,19.9,0.365,25.4,50.6,0.501,18.5,24.3,0.764,10.5,30.4,40.8,16.1,6.5,5.5,13.6,21.1,91.1,False
POR,6,240.0,34.8,73.7,0.473,6.5,17.5,0.371,28.3,56.2,0.504,16.3,21.7,0.754,8.3,31.7,40.0,17.3,5.7,3.3,12.2,20.0,92.5,False
HOU,13,240.0,35.3,78.5,0.45,5.8,16.1,0.364,29.5,62.4,0.472,16.5,22.2,0.743,11.0,29.5,40.5,15.9,7.8,7.1,11.6,21.4,92.9,False
DET,4,240.0,32.0,69.5,0.46,5.3,17.0,0.309,26.8,52.5,0.51,24.3,31.0,0.782,9.5,30.5,40.0,21.0,6.3,4.5,11.0,15.8,93.5,False
ORL,24,243.1,35.4,78.7,0.45,6.0,18.0,0.333,29.4,60.7,0.485,18.3,24.0,0.761,8.9,30.2,39.1,19.2,6.7,3.8,13.0,24.3,95.1,False
LAL,23,242.2,33.7,78.6,0.429,6.6,20.8,0.317,27.1,57.7,0.469,21.2,28.3,0.747,11.0,29.9,40.9,19.8,7.7,4.3,14.5,23.1,95.2,False
PHI,6,240.0,35.3,76.0,0.465,7.5,21.7,0.346,27.8,54.3,0.512,18.0,24.7,0.73,10.0,29.5,39.5,18.0,7.2,5.0,12.8,20.2,96.2,False
SAS,5,240.0,34.2,73.8,0.463,7.8,20.4,0.382,26.4,53.4,0.494,20.2,24.0,0.842,8.8,32.6,41.4,17.2,7.2,4.6,11.6,18.6,96.4,False
DEN,16,240.0,33.9,75.7,0.448,6.8,19.9,0.34,27.2,55.8,0.487,24.7,31.4,0.787,10.0,29.8,39.8,19.2,6.3,4.4,15.6,25.5,99.3,False
BOS,14,252.5,36.4,81.7,0.446,7.6,21.2,0.36,28.8,60.5,0.476,21.6,28.1,0.769,9.2,32.4,41.6,19.7,6.7,6.5,14.4,22.7,102.1,False
DAL,10,240.0,37.4,77.6,0.482,6.7,19.0,0.353,30.7,58.6,0.524,21.0,28.5,0.737,9.2,28.1,37.3,19.8,7.6,4.1,11.1,23.7,102.5,False
UTA,5,240.0,38.6,78.2,0.494,8.2,18.4,0.446,30.4,59.8,0.508,21.2,29.0,0.731,10.6,30.2,40.8,22.4,8.4,5.6,15.6,24.4,106.6,False
NOP,5,240.0,38.2,76.6,0.499,9.8,20.2,0.485,28.4,56.4,0.504,22.2,29.2,0.76,10.0,31.8,41.8,25.0,9.4,5.2,12.6,24.8,108.4,False
CHI,7,265.0,41.0,91.3,0.449,8.4,20.0,0.421,32.6,71.3,0.457,22.1,28.7,0.771,12.9,32.4,45.3,23.1,8.7,6.7,13.6,23.6,112.6,False
