Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,MIL,60,22,0.732,-,33-8,27-14,14-2,40-12,118.1,109.3,8.8,L1,7-3,True
2,TOR,58,24,0.7070000000000001,2,32-9,26-15,12-4,36-16,114.4,108.4,6.0,W2,7-3,True
3,PHI,51,31,0.622,9,31-10,20-21,8-8,31-21,115.2,112.5,2.7,W1,4-6,True
4,BOS,49,33,0.598,11,28-13,21-20,10-6,35-17,112.4,108.0,4.4,W1,6-4,True
5,IND,48,34,0.585,12,29-12,19-22,11-5,33-19,108.0,104.7,3.3,W1,4-6,True
6,BRK,42,40,0.512,18,23-18,19-22,8-8,29-23,112.2,112.3,-0.1,W3,6-4,True
7,ORL,42,40,0.512,18,25-16,17-24,10-6,30-22,107.3,106.6,0.7,W4,8-2,True
8,DET,41,41,0.5,19,26-15,15-26,8-8,27-25,107.0,107.3,-0.3,W2,4-6,True
9,CHO,39,43,0.47600000000000003,21,25-16,14-27,10-6,29-23,110.7,111.8,-1.1,L1,6-4,False
10,MIA,39,43,0.47600000000000003,21,19-22,20-21,7-9,23-29,105.7,105.9,-0.2,L1,4-6,False
11,WAS,32,50,0.39,28,22-19,10-31,7-9,19-33,114.0,116.9,-2.9,L4,2-8,False
12,ATL,29,53,0.354,31,17-24,12-29,6-10,16-36,113.3,119.4,-6.1,L3,5-5,False
13,CHI,22,60,0.268,38,9-32,13-28,3-13,16-36,104.9,113.4,-8.5,L3,2-8,False
14,CLE,19,63,0.23199999999999998,41,13-28,6-35,4-12,15-37,104.5,114.1,-9.6,L10,0-10,False
15,NYK,17,65,0.207,43,9-32,8-33,2-14,11-41,104.6,113.8,-9.2,L1,3-7,False
