Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,LAL,57,25,0.695,-,34-7,23-18,13-3,35-17,101.7,97.0,4.7,L1,4-6,True
2,DAL,55,27,0.6709999999999999,2,28-13,27-14,10-6,33-19,102.0,99.3,2.7,W5,8-2,True
3,PHO,54,28,0.659,3,32-9,22-19,12-4,35-17,110.2,105.3,4.9,W3,8-2,True
4,DEN,53,29,0.6459999999999999,4,34-7,19-22,12-4,34-18,106.5,102.4,4.1,L1,6-4,True
5,UTA,53,29,0.6459999999999999,4,32-9,21-20,8-8,31-21,104.2,98.9,5.3,L1,6-4,True
6,POR,50,32,0.61,7,26-15,24-17,8-8,33-19,98.1,94.8,3.3,L1,7-3,True
7,SAS,50,32,0.61,7,29-12,21-20,9-7,31-21,101.4,96.3,5.1,L1,6-4,True
8,OKC,50,32,0.61,7,27-14,23-18,9-7,28-24,101.5,98.0,3.5,W1,6-4,True
9,HOU,42,40,0.512,15,23-18,19-22,9-7,28-24,102.4,102.7,-0.3,L1,6-4,False
10,MEM,40,42,0.488,17,23-18,17-24,5-11,22-30,102.5,104.0,-1.5,L3,2-8,False
11,NOP,37,45,0.451,20,24-17,13-28,7-9,26-26,100.2,102.7,-2.5,W2,3-7,False
12,LAC,29,53,0.354,28,21-20,8-33,5-11,15-37,95.7,102.1,-6.4,W1,2-8,False
13,GSW,26,56,0.317,31,18-23,8-33,5-11,15-37,108.8,112.4,-3.6,W1,6-4,False
14,SAC,25,57,0.305,32,18-23,7-34,5-11,16-36,100.0,104.4,-4.4,L3,1-9,False
15,MIN,15,67,0.183,42,10-31,5-36,3-13,8-44,98.2,107.8,-9.6,L7,1-9,False
