Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,SAS,63,19,0.768,-,34-7,29-12,13-3,42-10,95.6,88.8,6.8,W3,7-3,True
2,PHO,54,28,0.659,9,31-10,23-18,10-6,32-20,108.4,102.8,5.6,W2,5-5,True
3,DEN,44,38,0.537,19,26-15,18-23,10-6,25-27,100.3,100.1,0.2,L4,4-6,True
4,DAL,60,22,0.732,3,34-7,26-15,13-3,37-15,99.1,93.1,6.0,L1,6-4,True
5,MEM,49,33,0.598,14,30-11,19-22,6-10,31-21,92.2,88.5,3.7,W5,8-2,True
6,LAC,47,35,0.573,16,27-14,20-21,7-9,27-25,97.2,95.6,1.6,W1,5-5,True
7,LAL,45,37,0.5489999999999999,18,27-14,18-23,9-7,27-25,99.4,96.9,2.5,W5,7-3,True
8,SAC,44,38,0.537,19,27-14,17-24,10-6,30-22,98.9,97.3,1.6,W3,8-2,True
9,UTA,41,41,0.5,22,22-19,19-22,11-5,26-26,92.4,95.0,-2.6,W1,7-3,False
10,NOP,38,44,0.46299999999999997,25,24-17,14-27,7-9,25-27,92.8,95.6,-2.8,L4,3-7,False
11,OKC,35,47,0.42700000000000005,28,22-19,13-28,10-6,20-32,102.6,105.6,-3.0,W1,6-4,False
12,HOU,34,48,0.415,29,15-26,19-22,1-15,19-33,90.1,91.7,-1.6,L1,2-8,False
13,GSW,34,48,0.415,29,21-20,13-28,4-12,19-33,98.5,99.8,-1.3,L1,4-6,False
14,MIN,33,49,0.402,30,24-17,9-32,6-10,20-32,91.7,93.6,-1.9,L3,3-7,False
15,POR,21,61,0.256,42,15-26,6-35,3-13,10-42,88.8,98.3,-9.5,L8,1-9,False
