Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,OKC,60,22,0.732,-,34-7,26-15,10-6,39-13,105.7,96.5,9.2,L1,7-3,True
2,SAS,58,24,0.7070000000000001,2,35-6,23-18,12-4,33-19,103.0,96.6,6.4,L3,3-7,True
3,DEN,57,25,0.695,3,38-3,19-22,11-5,38-14,106.1,101.1,5.0,W3,8-2,True
4,LAC,56,26,0.6829999999999999,4,32-9,24-17,11-5,35-17,101.1,94.6,6.5,W7,7-3,True
5,MEM,56,26,0.6829999999999999,4,32-9,24-17,10-6,34-18,93.4,89.3,4.1,W2,8-2,True
6,GSW,47,35,0.573,13,28-13,19-22,9-7,28-24,101.2,100.3,0.9,W2,6-4,True
7,LAL,45,37,0.5489999999999999,15,29-12,16-25,8-8,28-24,102.2,101.0,1.2,W5,8-2,True
8,HOU,45,37,0.5489999999999999,15,29-12,16-25,6-10,24-28,106.0,102.5,3.5,L2,6-4,True
9,UTA,43,39,0.524,17,30-11,13-28,9-7,26-26,98.0,98.1,-0.1,L1,7-3,False
10,DAL,41,41,0.5,19,24-17,17-24,7-9,24-28,101.1,101.7,-0.6,W1,6-4,False
11,POR,33,49,0.402,27,22-19,11-30,6-10,18-34,97.5,100.7,-3.2,L13,0-10,False
12,MIN,31,51,0.37799999999999995,29,20-21,11-30,4-12,17-35,95.7,98.1,-2.4,W1,5-5,False
13,SAC,28,54,0.341,32,20-21,8-33,7-9,14-38,100.2,105.1,-4.9,L4,2-8,False
14,NOP,27,55,0.32899999999999996,33,16-25,11-30,5-11,15-37,94.1,97.9,-3.8,L5,2-8,False
15,PHO,25,57,0.305,35,17-24,8-33,5-11,17-35,95.2,101.6,-6.4,L1,2-8,False
