Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,MIA,53,29,0.646,-,29-12,24-17,13-3,35-17,110.0,105.6,4.4,L1,6-4,True
2,BOS,51,31,0.622,2,28-13,23-18,9-7,33-19,111.8,104.5,7.3,W1,7-3,True
3,MIL,51,31,0.622,2,27-14,24-17,12-4,33-19,115.5,112.1,3.4,L1,6-4,True
4,PHI,51,31,0.622,2,24-17,27-14,6-10,32-20,109.9,107.3,2.6,W2,6-4,True
5,TOR,48,34,0.585,5,24-17,24-17,10-6,30-22,109.4,107.1,2.3,L1,8-2,True
6,CHI,46,36,0.561,7,27-14,19-22,10-6,29-23,111.6,112.0,-0.4,W1,4-6,True
7,BRK,44,38,0.537,9,20-21,24-17,10-6,31-21,112.9,112.1,0.8,W4,6-4,True
8,ATL,43,39,0.524,10,27-14,16-25,9-7,26-26,113.9,112.4,1.5,W1,7-3,True
9,CLE,44,38,0.537,9,25-16,19-22,10-6,27-25,107.8,105.7,2.1,W1,3-7,False
10,CHO,43,39,0.524,10,22-19,21-20,8-8,27-25,115.3,114.9,0.4,W3,6-4,False
11,NYK,37,45,0.451,16,17-24,20-21,5-11,22-30,106.5,106.6,-0.1,W2,7-3,False
12,WAS,35,47,0.427,18,21-20,14-27,7-9,24-28,108.6,112.0,-3.4,L3,5-5,False
13,IND,25,57,0.305,28,16-25,9-32,2-14,11-41,111.5,114.9,-3.4,L10,0-10,False
14,DET,23,59,0.28,30,13-28,10-31,6-10,18-34,104.8,112.5,-7.7,L3,4-6,False
15,ORL,22,60,0.268,31,12-29,10-31,3-13,12-40,104.2,112.2,-8.0,W1,3-7,False
