Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,MIL,56,17,0.767,-,30-5,26-12,13-1,37-7,118.7,108.6,10.1,L1,3-7,True
2,TOR,53,19,0.736,2.5,26-10,27-9,9-5,34-11,112.8,106.5,6.3,W4,9-1,True
3,BOS,48,24,0.667,7.5,26-10,22-14,9-6,30-13,113.7,107.3,6.4,L1,6-4,True
4,IND,45,28,0.616,11,25-11,20-17,8-7,28-19,109.4,107.5,1.9,W2,7-3,True
5,MIA,44,29,0.603,12,29-7,15-22,10-4,30-13,112.0,109.1,2.9,L2,4-6,True
6,PHI,43,30,0.589,13,31-4,12-26,11-5,28-18,110.7,108.4,2.3,W1,5-5,True
7,BRK,35,37,0.486,20.5,20-16,15-21,6-10,23-23,111.8,112.4,-0.6,L1,7-3,True
8,ORL,33,40,0.452,23,18-17,15-23,9-5,20-23,107.3,108.3,-1.0,W1,5-5,True
9,CHO,23,42,0.354,29,10-21,13-21,2-7,16-24,102.9,109.6,-6.7,W1,4-6,False
10,WAS,25,47,0.34700000000000003,30.5,16-20,9-27,5-9,18-27,114.4,119.1,-4.7,W1,2-8,False
11,CHI,22,43,0.33799999999999997,30,14-20,8-23,7-9,15-28,106.8,109.9,-3.1,W1,3-7,False
12,NYK,21,45,0.318,31.5,11-22,10-23,2-11,15-28,105.8,112.3,-6.5,W1,4-6,False
13,DET,20,46,0.303,32.5,11-22,9-24,5-10,12-31,107.2,110.8,-3.6,L5,1-9,False
14,ATL,20,47,0.299,33,14-20,6-27,6-7,11-32,111.8,119.7,-7.9,L1,4-6,False
15,CLE,19,46,0.292,33,11-25,8-21,4-10,12-32,106.9,114.8,-7.9,L1,4-6,False
