Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,LAL,65,17,0.7929999999999999,-,36-5,29-12,14-2,44-8,106.9,99.3,7.6,W2,7-3,True
2,DEN,54,28,0.659,11,33-8,21-20,12-4,35-17,104.3,100.9,3.4,L1,8-2,True
3,SAS,54,28,0.659,11,28-13,26-15,10-6,36-16,97.0,93.3,3.7,W4,6-4,True
4,POR,54,28,0.659,11,34-7,20-21,11-5,32-20,99.4,94.1,5.3,W6,9-1,True
5,HOU,53,29,0.6459999999999999,12,33-8,20-21,9-7,35-17,98.4,94.4,4.0,L1,6-4,True
6,DAL,50,32,0.61,15,32-9,18-23,7-9,29-23,101.7,99.8,1.9,W2,7-3,True
7,NOP,49,33,0.598,16,28-13,21-20,9-7,30-22,95.8,94.3,1.5,L2,4-6,True
8,UTA,48,34,0.585,17,33-8,15-26,10-6,33-19,103.6,100.9,2.7,L1,3-7,True
9,PHO,46,36,0.561,19,28-13,18-23,11-5,30-22,109.4,107.5,1.9,W3,6-4,False
10,GSW,29,53,0.354,36,21-20,8-33,6-10,18-34,108.6,112.3,-3.7,L2,4-6,False
11,MIN,24,58,0.293,41,11-30,13-28,3-13,13-39,97.8,102.7,-4.9,L3,4-6,False
12,MEM,24,58,0.293,41,16-25,8-33,5-11,14-38,93.9,99.3,-5.4,W1,6-4,False
13,OKC,23,59,0.28,42,15-26,8-33,4-12,15-37,97.0,103.1,-6.1,W1,3-7,False
14,LAC,19,63,0.23199999999999998,46,11-30,8-33,2-14,10-42,95.1,103.9,-8.8,L3,1-9,False
15,SAC,17,65,0.207,48,11-30,6-35,7-9,16-36,100.6,109.3,-8.7,W1,1-9,False
