Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,PHO,62,20,0.7559999999999999,-,31-10,31-10,12-4,38-14,110.4,103.3,7.1,L1,7-3,True
2,SAS,59,23,0.72,3,38-3,21-20,10-6,36-16,96.2,88.4,7.8,L2,6-4,True
3,OKC,52,30,0.634,10,26-15,26-15,11-5,31-21,98.9,96.6,2.3,L2,2-8,True
4,DAL,58,24,0.7070000000000001,4,29-12,29-12,11-5,35-17,102.5,96.8,5.7,W9,9-1,True
5,HOU,51,31,0.622,11,26-15,25-16,10-6,33-19,95.1,91.0,4.1,W7,7-3,True
6,SAC,50,32,0.61,12,30-11,20-21,10-6,28-24,103.7,101.6,2.1,W1,6-4,True
7,DEN,49,33,0.598,13,31-10,18-23,9-7,28-24,99.5,97.5,2.0,W1,8-2,True
8,MEM,45,37,0.5489999999999999,17,26-15,19-22,7-9,27-25,93.4,91.1,2.3,L1,4-6,True
9,MIN,44,38,0.537,18,24-17,20-21,10-6,30-22,96.8,95.3,1.5,W2,6-4,False
10,LAC,37,45,0.451,25,27-14,10-31,6-10,20-32,95.7,96.5,-0.8,W1,5-5,False
11,LAL,34,48,0.415,28,22-19,12-29,6-10,21-31,98.7,101.7,-3.0,L6,1-9,False
12,GSW,34,48,0.415,28,20-21,14-27,6-10,20-32,98.7,100.9,-2.2,W3,7-3,False
13,POR,27,55,0.32899999999999996,35,18-23,9-32,4-12,13-39,92.9,96.9,-4.0,W1,3-7,False
14,UTA,26,56,0.317,36,18-23,8-33,6-10,20-32,93.0,97.3,-4.3,L1,4-6,False
15,NOP,18,64,0.22,44,11-30,7-34,2-14,10-42,88.4,95.5,-7.1,L9,1-9,False
