Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,DAL,67,15,0.8170000000000001,-,36-5,31-10,14-2,40-12,100.0,92.8,7.2,W1,6-4,True
2,PHO,61,21,0.7440000000000001,6,33-8,28-13,11-5,36-16,110.2,102.9,7.3,L2,7-3,True
3,SAS,58,24,0.7070000000000001,9,31-10,27-14,10-6,38-14,98.5,90.1,8.4,L3,6-4,True
4,UTA,51,31,0.622,16,31-10,20-21,10-6,32-20,101.5,98.6,2.9,W2,4-6,True
5,HOU,52,30,0.634,15,28-13,24-17,8-8,28-24,97.0,92.1,4.9,L1,6-4,True
6,DEN,45,37,0.5489999999999999,22,23-18,22-19,9-7,27-25,105.4,103.7,1.7,W2,9-1,True
7,LAL,42,40,0.512,25,25-16,17-24,10-6,28-24,103.3,103.4,-0.1,W2,4-6,True
8,GSW,42,40,0.512,25,30-11,12-29,6-10,28-24,106.5,106.9,-0.4,W5,9-1,True
9,LAC,40,42,0.488,27,25-16,15-26,8-8,23-29,95.6,96.1,-0.5,L1,5-5,False
10,NOP,39,43,0.47600000000000003,28,24-17,15-26,6-10,23-29,95.5,97.1,-1.6,W2,7-3,False
11,SAC,33,49,0.402,34,20-21,13-28,5-11,18-34,101.3,103.1,-1.8,L2,3-7,False
12,POR,32,50,0.39,35,18-23,14-27,7-9,19-33,94.1,98.4,-4.3,L2,3-7,False
13,MIN,32,50,0.39,35,20-21,12-29,6-10,18-34,96.1,99.7,-3.6,L7,2-8,False
14,OKC,31,51,0.37799999999999995,36,20-21,11-30,8-8,18-34,99.1,102.0,-2.9,L5,1-9,False
15,MEM,22,60,0.268,45,14-27,8-33,2-14,14-38,101.6,106.7,-5.1,W3,4-6,False
