Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,SAS,60,22,0.732,-,33-8,27-14,17-7,0-0,95.8,90.4,5.4,L1,8-2,True
2,SAC,59,23,0.72,1,35-6,24-17,17-7,0-0,101.7,95.2,6.5,W2,8-2,True
3,DAL,60,22,0.732,-,33-8,27-14,18-6,0-0,103.0,95.2,7.8,W3,6-4,True
4,MIN,51,31,0.622,9,33-8,18-23,15-9,0-0,98.1,96.0,2.1,W3,5-5,True
5,LAL,50,32,0.61,10,31-10,19-22,15-9,0-0,100.4,98.0,2.4,W2,8-2,True
6,POR,50,32,0.61,10,27-14,23-18,15-9,0-0,95.2,92.5,2.7,L1,5-5,True
7,UTA,47,35,0.573,13,29-12,18-23,15-9,0-0,94.7,92.3,2.4,L2,4-6,True
8,PHO,44,38,0.537,16,30-11,14-27,12-12,0-0,95.5,94.4,1.1,L2,6-4,True
9,HOU,43,39,0.524,17,28-13,15-26,11-13,0-0,93.8,92.3,1.5,W3,6-4,False
10,OKC,40,42,0.488,20,25-16,15-26,11-13,0-0,92.1,92.3,-0.2,W1,5-5,False
11,GSW,38,44,0.46299999999999997,22,24-17,14-27,8-16,0-0,102.4,103.6,-1.2,L4,3-7,False
12,MEM,28,54,0.341,32,20-21,8-33,5-19,0-0,97.5,100.7,-3.2,L3,2-8,False
13,LAC,27,55,0.32899999999999996,33,16-25,11-30,6-18,0-0,93.8,98.0,-4.2,W3,5-5,False
14,DEN,17,65,0.207,43,13-28,4-37,3-21,0-0,84.2,92.4,-8.2,L8,1-9,False
