Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,HOU,65,17,0.7929999999999999,-,34-7,31-10,12-4,41-11,112.4,103.9,8.5,L1,7-3,True
2,GSW,58,24,0.7070000000000001,7,29-12,29-12,13-3,34-18,113.5,107.5,6.0,L1,4-6,True
3,POR,49,33,0.598,16,28-13,21-20,9-7,31-21,105.6,103.0,2.6,W1,5-5,True
4,OKC,48,34,0.585,17,27-14,21-20,5-11,28-24,107.9,104.4,3.5,W3,5-5,True
5,UTA,48,34,0.585,17,28-13,20-21,7-9,34-18,104.1,99.8,4.3,L1,7-3,True
6,NOP,48,34,0.585,17,24-17,24-17,9-7,27-25,111.7,110.4,1.3,W5,6-4,True
7,SAS,47,35,0.573,18,33-8,14-27,9-7,29-23,102.7,99.8,2.9,L1,5-5,True
8,MIN,47,35,0.573,18,30-11,17-24,10-6,34-18,109.5,107.3,2.2,W3,6-4,True
9,DEN,46,36,0.561,19,31-10,15-26,9-7,28-24,110.0,108.5,1.5,L1,7-3,False
10,LAC,42,40,0.512,23,22-19,20-21,12-4,24-28,109.0,109.0,0.0,L4,4-6,False
11,LAL,35,47,0.42700000000000005,30,20-21,15-26,6-10,19-33,108.1,109.6,-1.5,W1,3-7,False
12,SAC,27,55,0.32899999999999996,38,14-27,13-28,5-11,14-38,98.8,105.8,-7.0,W1,4-6,False
13,DAL,24,58,0.293,41,15-26,9-32,5-11,14-38,102.3,105.4,-3.1,L4,2-8,False
14,MEM,22,60,0.268,43,16-25,6-35,5-11,18-34,99.3,105.5,-6.2,L2,3-7,False
15,PHO,21,61,0.256,44,10-31,11-30,4-12,15-37,103.9,113.3,-9.4,W1,2-8,False
