Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,MIA,66,16,0.805,-,37-4,29-12,15-1,41-11,102.9,95.0,7.9,W8,9-1,True
2,NYK,54,28,0.659,12,31-10,23-18,10-6,37-15,100.0,95.7,4.3,W1,8-2,True
3,IND,49,32,0.605,16.5,30-11,19-21,13-3,31-20,94.7,90.7,4.0,L3,5-5,True
4,BRK,49,33,0.598,17,26-15,23-18,11-5,36-16,96.9,95.1,1.8,W2,7-3,True
5,CHI,45,37,0.5489999999999999,21,24-17,21-20,9-7,34-18,93.2,92.9,0.3,W2,5-5,True
6,ATL,44,38,0.537,22,25-16,19-22,11-5,29-23,98.0,97.5,0.5,L2,4-6,True
7,BOS,41,40,0.506,24.5,27-13,14-27,7-9,27-24,96.5,96.7,-0.2,L1,4-6,True
8,MIL,38,44,0.46299999999999997,28,21-20,17-24,7-9,24-28,98.9,100.4,-1.5,W1,3-7,True
9,PHI,34,48,0.415,32,23-18,11-30,7-9,22-30,93.2,96.5,-3.3,W1,5-5,False
10,TOR,34,48,0.415,32,21-20,13-28,5-11,22-30,97.2,98.7,-1.5,W5,7-3,False
11,DET,29,53,0.354,37,18-23,11-30,8-8,25-27,94.9,98.8,-3.9,L1,5-5,False
12,WAS,29,53,0.354,37,22-19,7-34,5-11,15-37,93.2,95.8,-2.6,L6,3-7,False
13,CLE,24,58,0.293,42,14-27,10-31,3-13,18-34,96.5,101.2,-4.7,L6,2-8,False
14,CHO,21,61,0.256,45,15-26,6-35,6-10,18-34,93.4,102.7,-9.3,W3,4-6,False
15,ORL,20,62,0.244,46,12-29,8-33,3-13,10-42,94.1,101.1,-7.0,L3,2-8,False
