Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,DET,64,18,0.78,-,37-4,27-14,13-3,39-13,96.8,90.2,6.6,L2,6-4,True
2,MIA,52,30,0.634,12,31-10,21-20,13-3,35-17,99.9,96.0,3.9,L3,4-6,True
3,BRK,49,33,0.598,15,29-12,20-21,10-6,33-19,93.8,92.4,1.4,L2,5-5,True
4,CLE,50,32,0.61,14,31-10,19-22,11-5,34-18,97.6,95.4,2.2,W2,7-3,True
5,WAS,42,40,0.512,22,27-14,15-26,8-8,29-23,101.7,99.8,1.9,W3,5-5,True
6,IND,41,41,0.5,23,27-14,14-27,6-10,24-28,93.9,92.0,1.9,W2,6-4,True
7,CHI,41,41,0.5,23,21-20,20-21,4-12,30-22,97.8,97.2,0.6,W6,9-1,True
8,MIL,40,42,0.488,24,25-16,15-26,6-10,29-23,97.8,98.8,-1.0,L1,4-6,True
9,PHI,38,44,0.46299999999999997,26,23-18,15-26,10-6,22-30,99.4,101.3,-1.9,L1,4-6,False
10,ORL,36,46,0.439,28,26-15,10-31,9-7,24-28,94.9,96.0,-1.1,L2,8-2,False
11,BOS,33,49,0.402,31,21-20,12-29,10-6,19-33,98.0,99.5,-1.5,W1,3-7,False
12,TOR,27,55,0.32899999999999996,37,15-26,12-29,6-10,20-32,101.1,104.0,-2.9,L2,1-9,False
13,CHO,26,56,0.317,38,17-24,9-32,5-11,18-34,96.9,100.9,-4.0,W4,6-4,False
14,ATL,26,56,0.317,38,18-23,8-33,5-11,19-33,97.2,102.0,-4.8,L1,4-6,False
15,NYK,23,59,0.28,41,15-26,8-33,4-12,15-37,95.6,102.0,-6.4,W1,4-6,False
