Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
New Jersey Nets,52,30,0.634,-,33-8,19-22,0-0,0-0,96.2,92.0,4.2,W1,6-4,True
Detroit Pistons,50,32,0.61,2,26-15,24-17,0-0,0-0,94.3,92.1,2.2,W3,7-3,True
Boston Celtics,49,33,0.598,3,27-14,22-19,0-0,0-0,96.4,94.1,2.3,W4,8-2,True
Charlotte Hornets,44,38,0.537,8,21-20,23-18,0-0,0-0,93.9,92.9,1.0,W2,6-4,True
Orlando Magic,44,38,0.537,8,27-14,17-24,0-0,0-0,100.5,98.9,1.6,L1,5-5,True
Philadelphia 76ers,43,39,0.524,9,22-19,21-20,0-0,0-0,91.0,89.4,1.6,L2,5-5,True
Toronto Raptors,42,40,0.512,10,24-17,18-23,0-0,0-0,91.4,91.8,-0.4,W1,8-2,True
Indiana Pacers,42,40,0.512,10,25-16,17-24,0-0,0-0,96.8,96.5,0.3,W5,6-4,True
Milwaukee Bucks,41,41,0.5,11,25-16,16-25,0-0,0-0,97.5,97.7,-0.2,L1,3-7,False
Washington Wizards,37,45,0.451,15,22-19,15-26,0-0,0-0,92.8,94.2,-1.4,W1,3-7,False
Miami Heat,36,46,0.439,16,18-23,18-23,0-0,0-0,87.2,88.7,-1.5,W1,4-6,False
Atlanta Hawks,33,49,0.402,19,23-18,10-31,0-0,0-0,94.0,98.3,-4.3,L2,4-6,False
New York Knicks,30,52,0.366,22,19-22,11-30,0-0,0-0,91.6,95.6,-4.0,L2,3-7,False
Cleveland Cavaliers,29,53,0.354,23,20-21,9-32,0-0,0-0,95.3,98.6,-3.3,L4,4-6,False
Chicago Bulls,21,61,0.256,31,14-27,7-34,0-0,0-0,89.5,98.0,-8.5,L1,4-6,False
