Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,TOR,59,23,0.72,-,34-7,25-16,12-4,40-12,111.7,103.9,7.8,L1,6-4,True
2,BOS,55,27,0.6709999999999999,4,27-14,28-13,12-4,33-19,104.0,100.4,3.6,W1,6-4,True
3,PHI,52,30,0.634,7,30-11,22-19,9-7,34-18,109.8,105.3,4.5,W16,10-0,True
4,CLE,50,32,0.61,9,29-12,21-20,11-5,35-17,110.9,109.9,1.0,L1,7-3,True
5,IND,48,34,0.585,11,27-14,21-20,10-6,32-20,105.6,104.2,1.4,L1,7-3,True
6,MIA,44,38,0.537,15,26-15,18-23,11-5,31-21,103.4,102.9,0.5,W1,5-5,True
7,MIL,44,38,0.537,15,25-16,19-22,6-10,27-25,106.5,106.8,-0.3,L1,6-4,True
8,WAS,43,39,0.524,16,23-18,20-21,8-8,28-24,106.6,106.0,0.6,L1,3-7,True
9,DET,39,43,0.47600000000000003,20,25-16,14-27,9-7,24-28,103.8,103.9,-0.1,W1,7-3,False
10,CHO,36,46,0.439,23,21-20,15-26,11-5,22-30,108.2,108.0,0.2,W1,5-5,False
11,NYK,29,53,0.354,30,19-22,10-31,6-10,17-35,104.5,108.0,-3.5,W1,3-7,False
12,BRK,28,54,0.341,31,15-26,13-28,1-15,19-33,106.6,110.3,-3.7,L1,5-5,False
13,CHI,27,55,0.32899999999999996,32,17-24,10-31,4-12,21-31,102.9,110.0,-7.1,L4,3-7,False
14,ORL,25,57,0.305,34,17-24,8-33,5-11,15-37,103.4,108.2,-4.8,W1,4-6,False
15,ATL,24,58,0.293,35,16-25,8-33,5-11,12-40,103.4,108.8,-5.4,L1,3-7,False
